Région,Année,Variete
Garoua,2000,variete_B
Guider,2000,variete_B
Kaélé,2000,variete_B
Maroua,2000,variete_B
Mayo Galké,2000,variete_A
Ngong,2000,variete_B
Tchatibali,2000,variete_A
Touboro,2000,variete_A
Garoua,2001,variete_B
Guider,2001,variete_B
Kaélé,2001,variete_A
Maroua,2001,variete_A
Mayo Galké,2001,variete_B
Ngong,2001,variete_B
Tchatibali,2001,variete_B
Touboro,2001,variete_B
Garoua,2002,variete_A
Guider,2002,variete_A
Kaélé,2002,variete_B
Maroua,2002,variete_A
Mayo Galké,2002,variete_A
Ngong,2002,variete_B
Tchatibali,2002,variete_A
Touboro,2002,variete_A
Garoua,2003,variete_B
Guider,2003,variete_B
Kaélé,2003,variete_B
Maroua,2003,variete_A
Mayo Galké,2003,variete_B
Ngong,2003,variete_A
Tchatibali,2003,variete_A
Touboro,2003,variete_B
Garoua,2004,variete_B
Guider,2004,variete_A
Kaélé,2004,variete_B
Maroua,2004,variete_B
Mayo Galké,2004,variete_B
Ngong,2004,variete_A
Tchatibali,2004,variete_B
Touboro,2004,variete_B
Garoua,2005,variete_B
Guider,2005,variete_A
Kaélé,2005,variete_B
Maroua,2005,variete_A
Mayo Galké,2005,variete_B
Ngong,2005,variete_B
Tchatibali,2005,variete_B
Touboro,2005,variete_B
Garoua,2006,variete_B
Guider,2006,variete_A
Kaélé,2006,variete_A
Maroua,2006,variete_B
Mayo Galké,2006,variete_B
Ngong,2006,variete_A
Tchatibali,2006,variete_A
Touboro,2006,variete_A
Garoua,2007,variete_A
Guider,2007,variete_A
Kaélé,2007,variete_A
Maroua,2007,variete_A
Mayo Galké,2007,variete_A
Ngong,2007,variete_B
Tchatibali,2007,variete_B
Touboro,2007,variete_B
Garoua,2008,variete_B
Guider,2008,variete_A
Kaélé,2008,variete_B
Maroua,2008,variete_A
Mayo Galké,2008,variete_B
Ngong,2008,variete_B
Tchatibali,2008,variete_A
Touboro,2008,variete_B
Garoua,2009,variete_A
Guider,2009,variete_B
Kaélé,2009,variete_A
Maroua,2009,variete_A
Mayo Galké,2009,variete_B
Ngong,2009,variete_B
Tchatibali,2009,variete_B
Touboro,2009,variete_A
Garoua,2010,variete_B
Guider,2010,variete_B
Kaélé,2010,variete_A
Maroua,2010,variete_A
Mayo Galké,2010,variete_A
Ngong,2010,variete_A
Tchatibali,2010,variete_A
Touboro,2010,variete_A
Garoua,2011,variete_B
Guider,2011,variete_B
Kaélé,2011,variete_B
Maroua,2011,variete_A
Mayo Galké,2011,variete_A
Ngong,2011,variete_A
Tchatibali,2011,variete_B
Touboro,2011,variete_B
Garoua,2012,variete_A
Guider,2012,variete_B
Kaélé,2012,variete_A
Maroua,2012,variete_A
Mayo Galké,2012,variete_B
Ngong,2012,variete_B
Tchatibali,2012,variete_B
Touboro,2012,variete_B
Garoua,2013,variete_A
Guider,2013,variete_A
Kaélé,2013,variete_A
Maroua,2013,variete_A
Mayo Galké,2013,variete_B
Ngong,2013,variete_B
Tchatibali,2013,variete_B
Touboro,2013,variete_B
Garoua,2014,variete_B
Guider,2014,variete_B
Kaélé,2014,variete_A
Maroua,2014,variete_B
Mayo Galké,2014,variete_B
Ngong,2014,variete_B
Tchatibali,2014,variete_B
Touboro,2014,variete_A
Garoua,2015,variete_A
Guider,2015,variete_B
Kaélé,2015,variete_A
Maroua,2015,variete_B
Mayo Galké,2015,variete_B
Ngong,2015,variete_A
Tchatibali,2015,variete_A
Touboro,2015,variete_B
Garoua,2016,variete_B
Guider,2016,variete_B
Kaélé,2016,variete_B
Maroua,2016,variete_A
Mayo Galké,2016,variete_B
Ngong,2016,variete_A
Tchatibali,2016,variete_B
Touboro,2016,variete_B
Garoua,2017,variete_A
Guider,2017,variete_A
Kaélé,2017,variete_B
Maroua,2017,variete_A
Mayo Galké,2017,variete_A
Ngong,2017,variete_B
Tchatibali,2017,variete_B
Touboro,2017,variete_A
Garoua,2018,variete_B
Guider,2018,variete_A
Kaélé,2018,variete_A
Maroua,2018,variete_B
Mayo Galké,2018,variete_A
Ngong,2018,variete_A
Tchatibali,2018,variete_B
Touboro,2018,variete_B
Garoua,2019,variete_B
