Année,Région,S_realise,Nb_Planteurs_region
2012,Garoua,0.0,0
2013,Garoua,36413.25,39704
2014,Garoua,31877.5,31040
2015,Garoua,32531.1,32394
2016,Garoua,29420.25,27267
2017,Garoua,29096.0,24261
2018,Garoua,32895.25,25748
2019,Garoua,32060.25,25629
2020,Garoua,32886.0,26501
2021,Garoua,31926.0,22264
2022,Garoua,38603.25,25828
2023,Garoua,39855.5,
2024,Garoua,49094.25,
2025,Garoua,36231.25,
2013,Guider,32035.0,34930
2014,Guider,30682.0,29876
2015,Guider,30725.0,30595
2016,Guider,28482.0,26398
2017,Guider,29121.0,24282
2018,Guider,29794.0,23320
2019,Guider,34946.25,27936
2020,Guider,32596.0,26267
2021,Guider,30584.0,21328
2022,Guider,29834.0,19961
2023,Guider,30491.25,
2024,Guider,28914.5,
2025,Guider,25875.0,
2013,Kaélé,22882.0,24950
2014,Kaélé,21548.0,20982
2015,Kaélé,19324.5,19243
2016,Kaélé,17989.5,16673
2017,Kaélé,19154.0,15971
2018,Kaélé,18383.0,14389
2019,Kaélé,18099.0,14468
2020,Kaélé,19228.0,15495
2021,Kaélé,23112.0,16117
2022,Kaélé,22710.0,15194
2023,Kaélé,23164.0,
2024,Kaélé,21269.0,
2025,Kaélé,19499.0,
2014,Maroua,52373.0,50997
2015,Maroua,44664.75,44476
2016,Maroua,39383.0,36501
2017,Maroua,36862.0,30737
2018,Maroua,42467.0,33240
2019,Maroua,46235.0,36960
2020,Maroua,51909.75,41831
2021,Maroua,52445.25,36573
2022,Maroua,47248.25,31612
2023,Maroua,49176.0,
2024,Maroua,47501.25,
2025,Maroua,36955.0,
2013,Mayo Galké,17433.25,19009
2014,Mayo Galké,17722.75,17257
2015,Mayo Galké,18525.75,18447
2016,Mayo Galké,17851.0,16545
2017,Mayo Galké,18490.0,15418
2018,Mayo Galké,21513.0,16839
2019,Mayo Galké,21288.0,17018
2020,Mayo Galké,19194.0,15467
2021,Mayo Galké,19916.0,13889
2022,Mayo Galké,23034.0,15411
2023,Mayo Galké,23466.0,
2024,Mayo Galké,22226.0,
2025,Mayo Galké,20141.0,
2013,Ngong,24085.0,26262
2014,Ngong,24533.75,23889
2015,Ngong,25733.0,25624
2016,Ngong,23486.75,21768
2017,Ngong,23064.0,19232
2018,Ngong,27650.0,21642
2019,Ngong,28154.0,22506
2020,Ngong,28909.0,23296
2021,Ngong,29175.0,20345
2022,Ngong,27711.0,18540
2023,Ngong,31286.0,
2024,Ngong,30695.0,
2025,Ngong,27562.0,
2013,Tchatibali,14240.0,15527
2014,Tchatibali,13209.5,12862
2015,Tchatibali,12388.0,12336
2016,Tchatibali,12712.0,11782
2017,Tchatibali,14036.0,11704
2018,Tchatibali,14609.0,11435
2019,Tchatibali,16336.0,13059
2020,Tchatibali,18187.0,14656
2021,Tchatibali,18186.0,12682
2022,Tchatibali,18233.0,12199
2023,Tchatibali,19044.25,
2024,Tchatibali,12880.0,
2025,Tchatibali,8862.0,
2012,Touboro,18170.0,19501
2013,Touboro,15650.0,17064
2014,Touboro,17543.0,17082
2015,Touboro,18848.0,18768
2016,Touboro,14466.0,13407
2017,Touboro,11908.0,9929
2018,Touboro,16588.0,12984
2019,Touboro,19619.75,15684
2020,Touboro,19787.0,15945
2021,Touboro,21193.0,14779
2022,Touboro,25267.0,16905
2023,Touboro,25425.0,
2024,Touboro,24260.0,
2025,Touboro,21557.0,
