Année,Région,Type_sol,S_Prevu,S_realise,Taux_realisation,Ecart_surface,Nb_Planteurs_region,Pluie_Annuelle_mm,Pluie_cycle_mm,Pluie_0_30j_mm,Pluie_30_60j_mm,Pluie_60_90j_mm,Pluie_90_120j_mm,Formule_NPKSB,NPKSB_kg_ha,Uree_kg_ha,ZnSO4_kg_ha,NPKSB_total_kg,Uree_total_kg,ZnSO4_total_kg,Credit_intrant_ha_FCFA,Credit_intrant_total_FCFA,Rdt_region_kg_ha,Production_region_T
2012,Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,15674.25,0.0,0.0,-15674.25,0.0,1118.0,,,,,,15.20.15.5.1,300,100,8,0,0,0.0,133211.0,0.0,1164.0,0.0
2013,Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,33788.75,36413.25,1.0777,2624.5,39704.0,761.0,,,,,,15.20.15.5.1,300,100,8,10923975,3641325,291306.0,137640.0,5011904543.0,1190.0,43323.5
2014,Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,33348.75,31877.5,0.9559,-1471.25,31040.0,890.0,305.0,91.0,168.0,46.0,0.0,15.20.15.5.1,300,100,8,9563250,3187750,255020.0,140968.0,4493694758.0,1412.0,45015.6
2015,Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,31272.5,32531.1,1.0402,1258.6,32394.0,1011.0,950.0,120.0,180.0,105.0,261.0,15.20.15.5.1,300,100,8,9759330,3253110,260248.8,142114.0,4623137179.0,1223.0,39771.1
2016,Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,28740.0,29420.25,1.0237,680.25,27267.0,783.0,913.0,179.0,141.0,273.0,270.0,15.20.15.5.1,300,100,8,8826075,2942025,235362.0,139122.0,4093018539.0,1302.0,38318.8
2017,Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,28801.25,29096.0,1.0102,294.75,24261.0,1013.0,858.0,191.0,173.0,145.0,141.0,15.20.15.5.1,300,100,8,8728800,2909600,232768.0,143108.0,4163882019.0,1385.0,40310.4
2018,Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,33338.0,32895.25,0.9867,-442.75,25748.0,994.0,1042.0,61.0,165.0,270.0,428.0,15.20.15.5.1,300,100,8,9868575,3289525,263162.0,148701.0,4891564105.0,1572.0,51720.3
2019,Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,32297.25,32060.25,0.9927,-237.0,25629.0,1041.0,897.0,203.0,187.0,105.0,209.0,15.20.15.5.1,300,100,8,9618075,3206025,256482.0,138205.0,4430881207.0,1474.0,47268.6
2020,Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,32062.5,32886.0,1.0257,823.5,26501.0,683.0,713.0,61.0,169.0,138.0,109.0,15.20.15.5.1,300,100,8,9865800,3288600,263088.0,139320.0,4581669721.0,1609.0,52908.9
2021,Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,30726.25,31926.0,1.039,1199.75,22264.0,1185.0,1016.0,108.0,355.0,206.0,254.0,15.20.15.5.1,300,100,8,9577800,3192600,255408.0,133888.0,4274517028.0,1592.0,50839.2
2022,Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,35807.25,38603.25,1.0781,2796.0,25828.0,,,,,,,15.20.15.5.1,300,100,8,11580975,3860325,308826.0,156551.0,6043370641.0,,
2023,Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,37910.5,39855.5,1.0513,1945.0,,,,,,,,15.20.15.5.1,300,100,8,11956650,3985550,318844.0,,,,
2024,Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,46562.5,49094.25,1.0544,2531.75,,925.0,,,,,,15.20.15.5.1,300,100,8,14728275,4909425,392754.0,,,,
2025,Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,38657.5,36231.25,0.9372,-2426.25,,,,,,,,15.20.15.5.1,300,100,8,10869375,3623125,289850.0,,,,
2013,Guider,Sols ferrugineux tropicaux sableux à sablo-argileux,28967.0,32035.0,1.1059,3068.0,34930.0,761.0,,,,,,15.20.15.5.1,300,100,8,9610500,3203500,256280.0,137640.0,4409284039.0,1190.0,38114.4
2014,Guider,Sols ferrugineux tropicaux sableux à sablo-argileux,29916.0,30682.0,1.0256,766.0,29876.0,818.0,335.0,48.0,211.0,76.0,0.0,15.20.15.5.1,300,100,8,9204600,3068200,245456.0,140968.0,4325167989.0,1416.0,43447.7
2015,Guider,Sols ferrugineux tropicaux sableux à sablo-argileux,27295.0,30725.0,1.1257,3430.0,30595.0,905.0,866.0,85.0,102.0,225.0,344.0,15.20.15.5.1,300,100,8,9217500,3072500,245800.0,142114.0,4366464393.0,1228.0,37740.3
2016,Guider,Sols ferrugineux tropicaux sableux à sablo-argileux,28837.5,28482.0,0.9877,-355.5,26398.0,584.0,701.0,71.0,87.0,234.0,154.0,15.20.15.5.1,300,100,8,8544600,2848200,227856.0,139122.0,3962486860.0,1313.0,37405.3
2017,Guider,Sols ferrugineux tropicaux sableux à sablo-argileux,27473.25,29121.0,1.06,1647.75,24282.0,591.0,564.0,89.0,148.0,82.0,150.0,15.20.15.5.1,300,100,8,8736300,2912100,232968.0,143108.0,4167459729.0,1408.0,41014.0
2018,Guider,Sols ferrugineux tropicaux sableux à sablo-argileux,29475.0,29794.0,1.0108,319.0,23320.0,786.0,788.0,90.0,112.0,224.0,276.0,15.20.15.5.1,300,100,8,8938200,2979400,238352.0,148701.0,4430404419.0,1584.0,47181.6
2019,Guider,Sols ferrugineux tropicaux sableux à sablo-argileux,28716.0,34946.25,1.217,6230.25,27936.0,885.0,748.0,162.0,130.0,165.0,184.0,15.20.15.5.1,300,100,8,10483875,3494625,279570.0,138205.0,4829740328.0,1483.0,51820.4
2020,Guider,Sols ferrugineux tropicaux sableux à sablo-argileux,29451.0,32596.0,1.1068,3145.0,26267.0,730.0,724.0,100.0,160.0,130.0,138.0,15.20.15.5.1,300,100,8,9778800,3259600,260768.0,139320.0,4541266989.0,1606.0,52358.9
2021,Guider,Sols ferrugineux tropicaux sableux à sablo-argileux,29097.0,30584.0,1.0511,1487.0,21328.0,1077.0,926.0,68.0,166.0,326.0,287.0,15.20.15.5.1,300,100,8,9175200,3058400,244672.0,133888.0,4094838964.0,1598.0,48882.0
2022,Guider,Sols ferrugineux tropicaux sableux à sablo-argileux,19698.0,29834.0,1.5146,10136.0,19961.0,,,,,,,15.20.15.5.1,300,100,8,8950200,2983400,238672.0,156551.0,4670537318.0,,
2023,Guider,Sols ferrugineux tropicaux sableux à sablo-argileux,29403.0,30491.25,1.037,1088.25,,,,,,,,15.20.15.5.1,300,100,8,9147375,3049125,243930.0,,,,
2024,Guider,Sols ferrugineux tropicaux sableux à sablo-argileux,28181.0,28914.5,1.026,733.5,,800.0,,,,,,15.20.15.5.1,300,100,8,8674350,2891450,231316.0,,,,
2025,Guider,Sols ferrugineux tropicaux sableux à sablo-argileux,26343.0,25875.0,0.9822,-468.0,,,,,,,,15.20.15.5.1,300,100,8,7762500,2587500,207000.0,,,,
2013,Kaélé,Sols ferrugineux tropicaux sableux sur socle granitique,25204.5,22882.0,0.9079,-2322.5,24950.0,806.0,,,,,,22.23.15.5.1,300,0,8,6864600,0,183056.0,137640.0,3149468937.0,1187.0,27168.3
2014,Kaélé,Sols ferrugineux tropicaux sableux sur socle granitique,22532.0,21548.0,0.9563,-984.0,20982.0,892.0,376.0,38.0,137.0,201.0,0.0,22.23.15.5.1,300,0,8,6464400,0,172384.0,140968.0,3037569905.0,1412.0,30426.5
2015,Kaélé,Sols ferrugineux tropicaux sableux sur socle granitique,20403.0,19324.5,0.9471,-1078.5,19243.0,790.0,762.0,109.0,115.0,149.0,266.0,22.23.15.5.1,300,0,8,5797350,0,154596.0,142114.0,2746289379.0,1235.0,23857.7
2016,Kaélé,Sols ferrugineux tropicaux sableux sur socle granitique,17724.0,17989.5,1.015,265.5,16673.0,672.0,892.0,133.0,107.0,329.0,229.0,22.23.15.5.1,300,0,8,5396850,0,143916.0,139122.0,2502744097.0,1309.0,23539.3
2017,Kaélé,Sols ferrugineux tropicaux sableux sur socle granitique,18293.0,19154.0,1.0471,861.0,15971.0,742.0,738.0,152.0,89.0,153.0,181.0,22.23.15.5.1,300,0,8,5746200,0,153232.0,143108.0,2741098302.0,1400.0,26819.0
2018,Kaélé,Sols ferrugineux tropicaux sableux sur socle granitique,17553.0,18383.0,1.0473,830.0,14389.0,983.0,1040.0,133.0,224.0,293.0,284.0,22.23.15.5.1,300,0,8,5514900,0,147064.0,148701.0,2733574694.0,1573.0,28914.1
2019,Kaélé,Sols ferrugineux tropicaux sableux sur socle granitique,16753.0,18099.0,1.0803,1346.0,14468.0,1049.0,918.0,118.0,155.0,161.0,347.0,22.23.15.5.1,300,0,8,5429700,0,144792.0,138205.0,2501369108.0,1474.0,26676.7
2020,Kaélé,Sols ferrugineux tropicaux sableux sur socle granitique,19017.0,19228.0,1.0111,211.0,15495.0,876.0,913.0,74.0,132.0,277.0,246.0,22.23.15.5.1,300,0,8,5768400,0,153824.0,139320.0,2678840400.0,1598.0,30733.1
2021,Kaélé,Sols ferrugineux tropicaux sableux sur socle granitique,19007.0,23112.0,1.216,4105.0,16117.0,812.0,787.0,79.0,137.0,249.0,220.0,22.23.15.5.1,300,0,8,6933600,0,184896.0,133888.0,3094425783.0,1613.0,37273.0
2022,Kaélé,Sols ferrugineux tropicaux sableux sur socle granitique,21296.0,22710.0,1.0664,1414.0,15194.0,,,,,,,22.23.15.5.1,300,0,8,6813000,0,181680.0,156551.0,3555269239.0,,
2023,Kaélé,Sols ferrugineux tropicaux sableux sur socle granitique,21237.0,23164.0,1.0907,1927.0,,,,,,,,22.23.15.5.1,300,0,8,6949200,0,185312.0,,,,
2024,Kaélé,Sols ferrugineux tropicaux sableux sur socle granitique,23924.0,21269.0,0.889,-2655.0,,1020.0,,,,,,22.23.15.5.1,300,0,8,6380700,0,170152.0,,,,
2025,Kaélé,Sols ferrugineux tropicaux sableux sur socle granitique,21343.0,19499.0,0.9136,-1844.0,,,,,,,,22.23.15.5.1,300,0,8,5849700,0,155992.0,,,,
2014,Maroua,"Sols ferrugineux tropicaux lessivés, localement hydromorphes",51421.5,52373.0,1.0185,951.5,50997.0,888.0,473.0,55.0,219.0,199.0,0.0,22.23.15.5.1,300,0,8,15711900,0,418984.0,140968.0,7382896261.0,1412.0,73963.9
2015,Maroua,"Sols ferrugineux tropicaux lessivés, localement hydromorphes",38677.0,44664.75,1.1548,5987.75,44476.0,680.0,661.0,89.0,95.0,161.0,184.0,22.23.15.5.1,300,0,8,13399425,0,357318.0,142114.0,6347503352.0,1241.0,55409.9
2016,Maroua,"Sols ferrugineux tropicaux lessivés, localement hydromorphes",37065.75,39383.0,1.0625,2317.25,36501.0,466.0,688.0,51.0,137.0,168.0,192.0,22.23.15.5.1,300,0,8,11814900,0,315064.0,139122.0,5479061161.0,1320.0,51974.5
2017,Maroua,"Sols ferrugineux tropicaux lessivés, localement hydromorphes",34158.5,36862.0,1.0791,2703.5,30737.0,625.0,599.0,146.0,143.0,151.0,76.0,22.23.15.5.1,300,0,8,11058600,0,294896.0,143108.0,5275261856.0,1407.0,51848.2
2018,Maroua,"Sols ferrugineux tropicaux lessivés, localement hydromorphes",40917.25,42467.0,1.0379,1549.75,33240.0,1020.0,1069.0,207.0,104.0,383.0,274.0,22.23.15.5.1,300,0,8,12740100,0,339736.0,148701.0,6314895095.0,1571.0,66709.5
2019,Maroua,"Sols ferrugineux tropicaux lessivés, localement hydromorphes",43293.0,46235.0,1.068,2942.0,36960.0,1100.0,933.0,117.0,76.0,270.0,306.0,22.23.15.5.1,300,0,8,13870500,0,369880.0,138205.0,6389900035.0,1471.0,68018.9
2020,Maroua,"Sols ferrugineux tropicaux lessivés, localement hydromorphes",47049.5,51909.75,1.1033,4860.25,41831.0,1014.0,1019.0,67.0,209.0,171.0,421.0,22.23.15.5.1,300,0,8,15572925,0,415278.0,139320.0,7232054059.0,1591.0,82580.0
