Année,Région,S_Prevu,S_realise,Taux_realisation,Ecart_surface,Pluie_Annuelle_mm,NPKSB_kg_ha,Uree_kg_ha,ZnSO4_kg_ha,NPKSB_total_kg,Uree_total_kg,ZnSO4_total_kg,Credit_intrant_ha_FCFA,Credit_intrant_total_FCFA,Rdt_region_kg_ha,Production_region_T,Type_sol_Alluvions récentes argilo-limoneuses / sols ferrugineux,Type_sol_Sols ferrugineux tropicaux graveleux sur granite,"Type_sol_Sols ferrugineux tropicaux lessivés, localement hydromorphes",Type_sol_Sols ferrugineux tropicaux sableux sur socle granitique,Type_sol_Sols ferrugineux tropicaux sableux à sablo-argileux,"Type_sol_Sols ferrugineux tropicaux sableux, peu profonds","Type_sol_Sols ferrugineux tropicaux, localement vertiques",Type_sol_Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,Formule_NPKSB_15.20.15.5.1,Formule_NPKSB_22.23.15.5.1,idRegion,NbTotalGrosProducteur,NbTotalGrpt,NbGrptPilote,NbGrptSatellite,NbGrptFerme,NbGrptOuvert,prix_moyen_article,Tonnage_S_realise,Tonnage_Credit,Tonnage_Arriere
2013,Garoua,33788.75,36413.25,1.0777,2624.5,761,300,100,8,10923975,3641325,291306.0,137640,5011904543,1190,43323.5,0,0,0,0,0,0,0,1,1,0,6,0,319,272,9,1,281,0,0,0,0
2014,Garoua,33348.75,31877.5,0.9559,-1471.25,890,300,100,8,9563250,3187750,255020.0,140968,4493694758,1412,45015.6,0,0,0,0,0,0,0,1,1,0,6,0,322,271,14,0,285,0,0,0,0
2015,Garoua,31272.5,32531.1,1.0402,1258.6,1011,300,100,8,9759330,3253110,260248.8,142114,4623137179,1223,39771.1,0,0,0,0,0,0,0,1,1,0,6,1901,322,273,7,8,280,0,0,0,0
2016,Garoua,28740.0,29420.25,1.0237,680.25,783,300,100,8,8826075,2942025,235362.0,139122,4093018539,1302,38318.8,0,0,0,0,0,0,0,1,1,0,6,2098,322,268,10,8,278,0,0,0,0
2017,Garoua,28801.25,29096.0,1.0102,294.75,1013,300,100,8,8728800,2909600,232768.0,143108,4163882019,1385,40310.4,0,0,0,0,0,0,0,1,1,0,6,2295,322,254,14,5,268,0,0,0,0
2018,Garoua,33338.0,32895.25,0.9867,-442.75,994,300,100,8,9868575,3289525,263162.0,148701,4891564105,1572,51720.3,0,0,0,0,0,0,0,1,1,0,6,2525,321,259,9,7,268,0,0,0,0
2019,Garoua,32297.25,32060.25,0.9927,-237.0,1041,300,100,8,9618075,3206025,256482.0,138205,4430881207,1474,47268.6,0,0,0,0,0,0,0,1,1,0,6,2063,321,256,16,7,272,0,0,0,0
2020,Garoua,32062.5,32886.0,1.0257,823.5,683,300,100,8,9865800,3288600,263088.0,139320,4581669721,1609,52908.9,0,0,0,0,0,0,0,1,1,0,6,2158,321,262,16,8,278,0,0,0,0
2021,Garoua,30726.25,31926.0,1.039,1199.75,1185,300,100,8,9577800,3192600,255408.0,133888,4274517028,1592,50839.2,0,0,0,0,0,0,0,1,1,0,6,2220,318,262,9,6,271,0,0,0,0
2013,Guider,28967.0,32035.0,1.1059,3068.0,761,300,100,8,9610500,3203500,256280.0,137640,4409284039,1190,38114.4,0,0,0,0,1,0,0,0,1,0,5,0,278,262,13,0,275,0,0,0,0
