Année,Région,Rdt_region_kg_ha,Production_region_T,S_realise,Pluie_Annuelle_mm,Credit_intrant_ha_FCFA,NbTotalGrpt,prix_moyen_article
2013,Garoua,1190,43323.5,36413.25,761,137640,319,0
2014,Garoua,1412,45015.6,31877.5,890,140968,322,0
2015,Garoua,1223,39771.1,32531.1,1011,142114,322,0
2016,Garoua,1302,38318.8,29420.25,783,139122,322,0
2017,Garoua,1385,40310.4,29096.0,1013,143108,322,0
2018,Garoua,1572,51720.3,32895.25,994,148701,321,0
2019,Garoua,1474,47268.6,32060.25,1041,138205,321,0
2020,Garoua,1609,52908.9,32886.0,683,139320,321,0
2021,Garoua,1592,50839.2,31926.0,1185,133888,318,0
2013,Guider,1190,38114.4,32035.0,761,137640,278,0
2014,Guider,1416,43447.7,30682.0,818,140968,278,0
2015,Guider,1228,37740.3,30725.0,905,142114,278,0
2016,Guider,1313,37405.3,28482.0,584,139122,278,0
2017,Guider,1408,41014.0,29121.0,591,143108,278,0
2018,Guider,1584,47181.6,29794.0,786,148701,278,0
2019,Guider,1483,51820.4,34946.25,885,138205,278,0
2020,Guider,1606,52358.9,32596.0,730,139320,278,0
2021,Guider,1598,48882.0,30584.0,1077,133888,278,0
2013,Kaélé,1187,27168.3,22882.0,806,137640,209,0
2014,Kaélé,1412,30426.5,21548.0,892,140968,209,0
2015,Kaélé,1235,23857.7,19324.5,790,142114,209,0
2016,Kaélé,1309,23539.3,17989.5,672,139122,209,0
2017,Kaélé,1400,26819.0,19154.0,742,143108,209,0
2018,Kaélé,1573,28914.1,18383.0,983,148701,209,0
2019,Kaélé,1474,26676.7,18099.0,1049,138205,209,0
2020,Kaélé,1598,30733.1,19228.0,876,139320,209,0
2021,Kaélé,1613,37273.0,23112.0,812,133888,209,0
2014,Maroua,1412,73963.9,52373.0,888,140968,252,0
2015,Maroua,1241,55409.9,44664.75,680,142114,252,0
2016,Maroua,1320,51974.5,39383.0,466,139122,252,0
2017,Maroua,1407,51848.2,36862.0,625,143108,252,0
2018,Maroua,1571,66709.5,42467.0,1020,148701,252,0
2019,Maroua,1471,68018.9,46235.0,1100,138205,252,0
2020,Maroua,1591,82580.0,51909.75,1014,139320,252,0
2021,Maroua,1607,84276.5,52445.25,918,133888,253,0
2013,Mayo Galké,1175,20477.8,17433.25,1039,137640,157,0
2014,Mayo Galké,1381,24475.2,17722.75,1462,140968,157,0
2015,Mayo Galké,1208,22375.4,18525.75,1282,142114,157,0
2016,Mayo Galké,1281,22861.5,17851.0,1183,139122,157,0
2017,Mayo Galké,1357,25094.1,18490.0,1532,143108,157,0
2018,Mayo Galké,1551,33360.5,21513.0,1390,148701,157,0
2019,Mayo Galké,1440,30655.1,21288.0,1672,138205,157,0
2020,Mayo Galké,1580,30326.6,19194.0,1213,139320,157,0
2021,Mayo Galké,1582,31513.8,19916.0,1370,133888,157,0
2013,Ngong,1171,28213.8,24085.0,1098,137640,278,0
2014,Ngong,1400,34336.7,24533.75,1121,140968,278,0
2015,Ngong,1223,31465.6,25733.0,1007,142114,277,0
2016,Ngong,1301,30552.2,23486.75,813,139122,278,0
2017,Ngong,1394,32154.4,23064.0,853,143108,278,0
2018,Ngong,1574,43517.0,27650.0,965,148701,278,0
2019,Ngong,1466,41284.0,28154.0,1188,138205,278,0
2020,Ngong,1608,46488.4,28909.0,697,139320,278,0
2021,Ngong,1606,46868.3,29175.0,927,133888,278,0
2013,Tchatibali,1189,16929.2,14240.0,778,137640,190,0
2014,Tchatibali,1407,18583.2,13209.5,988,140968,191,0
2015,Tchatibali,1241,15375.6,12388.0,669,142114,191,0
2016,Tchatibali,1318,16750.0,12712.0,504,139122,191,0
2017,Tchatibali,1395,19581.8,14036.0,835,143108,191,0
2018,Tchatibali,1584,23137.9,14609.0,782,148701,191,0
2019,Tchatibali,1468,23977.7,16336.0,1162,138205,191,0
2020,Tchatibali,1603,29162.3,18187.0,782,139320,191,0
2021,Tchatibali,1601,29110.0,18186.0,1033,133888,191,0
2012,Touboro,1137,20653.3,18170.0,1628,133211,171,0
2013,Touboro,1164,18218.7,15650.0,1232,137640,171,0
2014,Touboro,1384,24273.8,17543.0,1413,140968,171,0
2015,Touboro,1168,22018.7,18848.0,2009,142114,173,0
2016,Touboro,1294,18712.3,14466.0,947,139122,173,0
2017,Touboro,1355,16134.6,11908.0,1573,143108,173,0
2018,Touboro,1562,25909.3,16588.0,1184,148701,173,0
2019,Touboro,1448,28402.3,19619.75,1532,138205,173,0
2020,Touboro,1577,31195.7,19787.0,1276,139320,173,0
2021,Touboro,1589,33678.7,21193.0,1245,133888,173,0
