IdCampagne,IdRegion,NbTotalGrosProducteur
9,2,458
10,4,303
8,6,2525
8,4,168
14,2,557
7,5,504
14,8,2808
5,3,126
9,9,1443
14,1,1499
9,8,1949
9,5,607
10,3,416
7,2,229
12,A,1642
7,8,1557
15,4,407
9,1,774
14,9,1765
9,7,908
10,6,2158
14,5,927
15,3,264
7,4,114
13,1,1359
6,7,608
13,5,844
14,3,452
13,B,1253
5,6,1901
13,9,2335
11,7,888
5,4,64
11,2,722
11,8,2538
14,A,1447
6,5,430
13,7,2325
7,3,385
11,1,1369
12,4,495
11,5,862
7,6,2295
11,9,1204
6,1,422
12,3,759
10,1,1083
11,3,599
6,2,216
13,8,2700
10,9,1204
8,1,645
15,5,881
9,6,2063
8,7,996
8,8,1757
8,2,291
14,4,497
13,A,1276
15,B,1402
15,9,1588
10,7,888
15,8,2318
9,4,250
13,2,504
15,7,1936
8,5,549
15,1,1086
9,3,333
8,9,1692
15,2,458
8,3,408
5,8,20
11,6,2220
12,2,829
7,1,459
10,5,643
14,7,2071
15,A,1335
13,4,420
12,B,1343
5,7,745
13,3,619
6,6,2098
7,9,1389
5,1,346
11,4,406
5,2,185
12,9,1856
14,B,1532
12,8,2289
6,4,68
12,5,1018
7,7,623
10,2,598
10,8,2058
12,1,1106
5,5,357
6,3,215
12,7,888
