idRegion,libelleRegion,idCampagne,campagne,NbTotalGrpt,NbGrptPilote,NbGrptSatellite,NbGrptFerme,NbGrptOuvert,annee_debut
6,GAROUA,2,2012/2013,319,274,8,0,282,2012
8,NGONG,8,2018/2019,278,171,10,18,181,2018
2,MAROUA 2,3,2013/2014,252,221,11,0,232,2013
7,TOUBORO,2,2012/2013,171,123,38,0,161,2012
2,MAROUA 2,9,2019/2020,252,204,9,0,213,2019
8,NGONG,15,2025/2026,232,175,1,41,176,2025
7,TOUBORO,15,2025/2026,179,141,0,19,141,2025
1,MAROUA 1,8,2018/2019,254,140,22,1,162,2018
9,MAYO-GALKE,5,2015/2016,157,133,21,0,154,2015
3,TCHATIBALI,1,2011/2012,190,185,0,0,185,2011
5,GUIDER,7,2017/2018,278,253,12,0,265,2017
8,NGONG,1,2011/2012,278,211,11,53,222,2011
6,GAROUA,10,2020/2021,321,262,16,8,278,2020
4,KAELE,3,2013/2014,209,194,15,0,209,2013
2,MAROUA 2,4,2014/2015,252,218,14,0,232,2014
2,MAROUA 2,14,2024/2025,253,208,4,1,212,2024
4,KAELE,12,2022/2023,210,169,4,37,173,2022
7,TOUBORO,4,2014/2015,171,121,41,0,162,2014
6,GAROUA,3,2013/2014,319,272,9,1,281,2013
1,MAROUA 1,7,2017/2018,254,137,32,0,169,2017
3,TCHATIBALI,6,2016/2017,191,140,32,0,172,2016
4,KAELE,6,2016/2017,209,167,6,0,173,2016
8,NGONG,14,2024/2025,225,169,3,14,172,2024
9,MAYO-GALKE,15,2025/2026,159,143,0,0,143,2025
5,GUIDER,11,2021/2022,278,256,7,1,263,2021
5,GUIDER,6,2016/2017,278,261,10,0,271,2016
7,TOUBORO,3,2013/2014,171,123,38,0,161,2013
8,NGONG,13,2023/2024,225,169,3,14,172,2023
6,GAROUA,4,2014/2015,322,271,14,0,285,2014
5,GUIDER,14,2024/2025,279,252,0,1,252,2024
2,MAROUA 2,5,2015/2016,252,217,14,0,231,2015
4,KAELE,15,2025/2026,220,184,0,36,184,2025
7,TOUBORO,9,2019/2020,173,135,9,25,144,2019
3,TCHATIBALI,7,2017/2018,191,143,17,0,160,2017
3,TCHATIBALI,13,2023/2024,191,157,0,2,157,2023
5,GUIDER,1,2011/2012,278,262,13,0,275,2011
2,MAROUA 2,12,2022/2023,253,210,8,1,218,2022
7,TOUBORO,5,2015/2016,173,126,37,0,163,2015
6,GAROUA,9,2019/2020,321,256,16,7,272,2019
1,MAROUA 1,6,2016/2017,254,166,51,0,217,2016
2,MAROUA 2,11,2021/2022,253,211,7,0,218,2021
1,MAROUA 1,11,2021/2022,254,164,7,1,171,2021
9,MAYO-GALKE,10,2020/2021,157,135,1,0,136,2020
8,NGONG,6,2016/2017,278,191,12,61,203,2016
2,MAROUA 2,8,2018/2019,252,196,10,0,206,2018
