Année,Région,S_realise,Formule_NPKSB,NPKSB_kg_ha,Uree_kg_ha,ZnSO4_kg_ha,NPKSB_total_kg,Uree_total_kg,ZnSO4_total_kg,Credit_intrant_ha_FCFA,Credit_intrant_total_FCFA
2012,Garoua,0.0,15.20.15.5.1,300,100,8,0,0,0.0,133211.0,0.0
2013,Garoua,36413.25,15.20.15.5.1,300,100,8,10923975,3641325,291306.0,137640.0,5011904543.0
2014,Garoua,31877.5,15.20.15.5.1,300,100,8,9563250,3187750,255020.0,140968.0,4493694758.0
2015,Garoua,32531.1,15.20.15.5.1,300,100,8,9759330,3253110,260248.8,142114.0,4623137179.0
2016,Garoua,29420.25,15.20.15.5.1,300,100,8,8826075,2942025,235362.0,139122.0,4093018539.0
2017,Garoua,29096.0,15.20.15.5.1,300,100,8,8728800,2909600,232768.0,143108.0,4163882019.0
2018,Garoua,32895.25,15.20.15.5.1,300,100,8,9868575,3289525,263162.0,148701.0,4891564105.0
2019,Garoua,32060.25,15.20.15.5.1,300,100,8,9618075,3206025,256482.0,138205.0,4430881207.0
2020,Garoua,32886.0,15.20.15.5.1,300,100,8,9865800,3288600,263088.0,139320.0,4581669721.0
2021,Garoua,31926.0,15.20.15.5.1,300,100,8,9577800,3192600,255408.0,133888.0,4274517028.0
2022,Garoua,38603.25,15.20.15.5.1,300,100,8,11580975,3860325,308826.0,156551.0,6043370641.0
2023,Garoua,39855.5,15.20.15.5.1,300,100,8,11956650,3985550,318844.0,,
2024,Garoua,49094.25,15.20.15.5.1,300,100,8,14728275,4909425,392754.0,,
2025,Garoua,36231.25,15.20.15.5.1,300,100,8,10869375,3623125,289850.0,,
2013,Guider,32035.0,15.20.15.5.1,300,100,8,9610500,3203500,256280.0,137640.0,4409284039.0
2014,Guider,30682.0,15.20.15.5.1,300,100,8,9204600,3068200,245456.0,140968.0,4325167989.0
2015,Guider,30725.0,15.20.15.5.1,300,100,8,9217500,3072500,245800.0,142114.0,4366464393.0
2016,Guider,28482.0,15.20.15.5.1,300,100,8,8544600,2848200,227856.0,139122.0,3962486860.0
2017,Guider,29121.0,15.20.15.5.1,300,100,8,8736300,2912100,232968.0,143108.0,4167459729.0
2018,Guider,29794.0,15.20.15.5.1,300,100,8,8938200,2979400,238352.0,148701.0,4430404419.0
2019,Guider,34946.25,15.20.15.5.1,300,100,8,10483875,3494625,279570.0,138205.0,4829740328.0
2020,Guider,32596.0,15.20.15.5.1,300,100,8,9778800,3259600,260768.0,139320.0,4541266989.0
2021,Guider,30584.0,15.20.15.5.1,300,100,8,9175200,3058400,244672.0,133888.0,4094838964.0
2022,Guider,29834.0,15.20.15.5.1,300,100,8,8950200,2983400,238672.0,156551.0,4670537318.0
2023,Guider,30491.25,15.20.15.5.1,300,100,8,9147375,3049125,243930.0,,
2024,Guider,28914.5,15.20.15.5.1,300,100,8,8674350,2891450,231316.0,,
2025,Guider,25875.0,15.20.15.5.1,300,100,8,7762500,2587500,207000.0,,
2013,Kaélé,22882.0,22.23.15.5.1,300,0,8,6864600,0,183056.0,137640.0,3149468937.0
2014,Kaélé,21548.0,22.23.15.5.1,300,0,8,6464400,0,172384.0,140968.0,3037569905.0
2015,Kaélé,19324.5,22.23.15.5.1,300,0,8,5797350,0,154596.0,142114.0,2746289379.0
2016,Kaélé,17989.5,22.23.15.5.1,300,0,8,5396850,0,143916.0,139122.0,2502744097.0
2017,Kaélé,19154.0,22.23.15.5.1,300,0,8,5746200,0,153232.0,143108.0,2741098302.0
2018,Kaélé,18383.0,22.23.15.5.1,300,0,8,5514900,0,147064.0,148701.0,2733574694.0
2019,Kaélé,18099.0,22.23.15.5.1,300,0,8,5429700,0,144792.0,138205.0,2501369108.0
2020,Kaélé,19228.0,22.23.15.5.1,300,0,8,5768400,0,153824.0,139320.0,2678840400.0
2021,Kaélé,23112.0,22.23.15.5.1,300,0,8,6933600,0,184896.0,133888.0,3094425783.0
2022,Kaélé,22710.0,22.23.15.5.1,300,0,8,6813000,0,181680.0,156551.0,3555269239.0
2023,Kaélé,23164.0,22.23.15.5.1,300,0,8,6949200,0,185312.0,,
2024,Kaélé,21269.0,22.23.15.5.1,300,0,8,6380700,0,170152.0,,
2025,Kaélé,19499.0,22.23.15.5.1,300,0,8,5849700,0,155992.0,,
2014,Maroua,52373.0,22.23.15.5.1,300,0,8,15711900,0,418984.0,140968.0,7382896261.0
2015,Maroua,44664.75,22.23.15.5.1,300,0,8,13399425,0,357318.0,142114.0,6347503352.0
2016,Maroua,39383.0,22.23.15.5.1,300,0,8,11814900,0,315064.0,139122.0,5479061161.0
2017,Maroua,36862.0,22.23.15.5.1,300,0,8,11058600,0,294896.0,143108.0,5275261856.0
2018,Maroua,42467.0,22.23.15.5.1,300,0,8,12740100,0,339736.0,148701.0,6314895095.0
2019,Maroua,46235.0,22.23.15.5.1,300,0,8,13870500,0,369880.0,138205.0,6389900035.0
