Année,Région,Pluie_Annuelle_mm,Pluie_cycle_mm,Pluie_0_30j_mm,Pluie_30_60j_mm,Pluie_60_90j_mm,Pluie_90_120j_mm
2012,Garoua,1118.0,,,,,
2013,Garoua,761.0,,,,,
2014,Garoua,890.0,305.0,91.0,168.0,46.0,0.0
2015,Garoua,1011.0,950.0,120.0,180.0,105.0,261.0
2016,Garoua,783.0,913.0,179.0,141.0,273.0,270.0
2017,Garoua,1013.0,858.0,191.0,173.0,145.0,141.0
2018,Garoua,994.0,1042.0,61.0,165.0,270.0,428.0
2019,Garoua,1041.0,897.0,203.0,187.0,105.0,209.0
2020,Garoua,683.0,713.0,61.0,169.0,138.0,109.0
2021,Garoua,1185.0,1016.0,108.0,355.0,206.0,254.0
2022,Garoua,,,,,,
2023,Garoua,,,,,,
2024,Garoua,925.0,,,,,
2025,Garoua,,,,,,
2013,Guider,761.0,,,,,
2014,Guider,818.0,335.0,48.0,211.0,76.0,0.0
2015,Guider,905.0,866.0,85.0,102.0,225.0,344.0
2016,Guider,584.0,701.0,71.0,87.0,234.0,154.0
2017,Guider,591.0,564.0,89.0,148.0,82.0,150.0
2018,Guider,786.0,788.0,90.0,112.0,224.0,276.0
2019,Guider,885.0,748.0,162.0,130.0,165.0,184.0
2020,Guider,730.0,724.0,100.0,160.0,130.0,138.0
2021,Guider,1077.0,926.0,68.0,166.0,326.0,287.0
2022,Guider,,,,,,
2023,Guider,,,,,,
2024,Guider,800.0,,,,,
2025,Guider,,,,,,
2013,Kaélé,806.0,,,,,
2014,Kaélé,892.0,376.0,38.0,137.0,201.0,0.0
2015,Kaélé,790.0,762.0,109.0,115.0,149.0,266.0
2016,Kaélé,672.0,892.0,133.0,107.0,329.0,229.0
2017,Kaélé,742.0,738.0,152.0,89.0,153.0,181.0
2018,Kaélé,983.0,1040.0,133.0,224.0,293.0,284.0
2019,Kaélé,1049.0,918.0,118.0,155.0,161.0,347.0
2020,Kaélé,876.0,913.0,74.0,132.0,277.0,246.0
2021,Kaélé,812.0,787.0,79.0,137.0,249.0,220.0
2022,Kaélé,,,,,,
2023,Kaélé,,,,,,
2024,Kaélé,1020.0,,,,,
2025,Kaélé,,,,,,
2014,Maroua,888.0,473.0,55.0,219.0,199.0,0.0
2015,Maroua,680.0,661.0,89.0,95.0,161.0,184.0
2016,Maroua,466.0,688.0,51.0,137.0,168.0,192.0
2017,Maroua,625.0,599.0,146.0,143.0,151.0,76.0
2018,Maroua,1020.0,1069.0,207.0,104.0,383.0,274.0
2019,Maroua,1100.0,933.0,117.0,76.0,270.0,306.0
2020,Maroua,1014.0,1019.0,67.0,209.0,171.0,421.0
2021,Maroua,918.0,876.0,105.0,201.0,303.0,175.0
2022,Maroua,,,,,,
2023,Maroua,,,,,,
2024,Maroua,1100.0,,,,,
2025,Maroua,,,,,,
2013,Mayo Galké,1039.0,,,,,
2014,Mayo Galké,1462.0,506.0,95.0,251.0,160.0,0.0
2015,Mayo Galké,1282.0,1050.0,138.0,315.0,197.0,262.0
2016,Mayo Galké,1183.0,899.0,120.0,139.0,350.0,147.0
2017,Mayo Galké,1532.0,1130.0,172.0,221.0,314.0,229.0
2018,Mayo Galké,1390.0,1181.0,152.0,208.0,310.0,297.0
2019,Mayo Galké,1672.0,1173.0,272.0,179.0,209.0,277.0
2020,Mayo Galké,1213.0,824.0,112.0,141.0,209.0,205.0
2021,Mayo Galké,1370.0,977.0,96.0,257.0,227.0,246.0
2022,Mayo Galké,,,,,,
2023,Mayo Galké,,,,,,
2024,Mayo Galké,1320.0,,,,,
2025,Mayo Galké,,,,,,
2013,Ngong,1098.0,,,,,
2014,Ngong,1121.0,392.0,52.0,243.0,97.0,0.0
2015,Ngong,1007.0,948.0,143.0,97.0,118.0,287.0
2016,Ngong,813.0,1035.0,267.0,119.0,250.0,288.0
2017,Ngong,853.0,826.0,108.0,136.0,142.0,182.0
2018,Ngong,965.0,916.0,86.0,154.0,301.0,290.0
2019,Ngong,1188.0,1060.0,148.0,182.0,196.0,307.0
2020,Ngong,697.0,723.0,101.0,144.0,216.0,117.0
2021,Ngong,927.0,772.0,72.0,203.0,223.0,249.0
2022,Ngong,,,,,,
2023,Ngong,,,,,,
2024,Ngong,810.0,,,,,
2025,Ngong,,,,,,
2013,Tchatibali,778.0,,,,,
2014,Tchatibali,988.0,474.0,47.0,199.0,228.0,0.0
2015,Tchatibali,669.0,664.0,73.0,74.0,174.0,219.0
2016,Tchatibali,504.0,660.0,90.0,110.0,159.0,202.0
2017,Tchatibali,835.0,822.0,116.0,118.0,306.0,168.0
2018,Tchatibali,782.0,778.0,144.0,179.0,133.0,233.0
2019,Tchatibali,1162.0,1067.0,174.0,207.0,293.0,285.0
2020,Tchatibali,782.0,808.0,70.0,141.0,245.0,195.0
2021,Tchatibali,1033.0,1015.0,56.0,141.0,297.0,352.0
2022,Tchatibali,,,,,,
2023,Tchatibali,,,,,,
2024,Tchatibali,1065.0,,,,,
2025,Tchatibali,,,,,,
2012,Touboro,1628.0,,,,,
2013,Touboro,1232.0,,,,,
2014,Touboro,1413.0,593.0,79.0,240.0,274.0,0.0
2015,Touboro,2009.0,1848.0,145.0,336.0,667.0,468.0
2016,Touboro,947.0,1026.0,176.0,205.0,330.0,200.0
2017,Touboro,1573.0,1515.0,253.0,308.0,305.0,358.0
2018,Touboro,1184.0,1092.0,106.0,269.0,295.0,288.0
2019,Touboro,1532.0,1212.0,196.0,219.0,201.0,367.0
2020,Touboro,1276.0,1167.0,165.0,233.0,287.0,267.0
2021,Touboro,1245.0,1061.0,158.0,265.0,233.0,254.0
2022,Touboro,,,,,,
2023,Touboro,,,,,,
2024,Touboro,1230.0,,,,,
2025,Touboro,,,,,,
