CODE_ART,LIBELLE_ART,LIBELLE_ETD_ART,PRIX_ART_DPA,DATE_PRIX,PRIX_ART_CPT,PRIX_ART_PCT,CES_CREDIT,CES_COMPTANT,CES_PRETCT,CODE_SOUS_FAM,CODE_UNITE,ACTIF,LIBELLE_UNITE,LIBELLE_SOUS_FAM,CODE_FAM,LIBELLE_FAM,CAMPAGNE,CODE_CAMP
368197.0,SUPER MAIS,SUPER MAIS,6250,2025-05-28,0.0,0.0,O,O,O,3681,,True,Litre,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368194.0,NICOMAIS DUO,NICOMAIS DUO,4600,2025-05-28,0.0,0.0,O,O,O,3681,,True,Litre,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
3680.0,SMARFOIL,SMARFOIL,2000,2025-08-06,0.0,0.0,O,O,O,3680,,True,Litre,Engrais,DCPT_UN,décomptes numéro 1,2025-2026,15
368030.0,SMARFOIL,SMARFOIL,2000,2025-08-11,0.0,0.0,O,O,O,3680,,True,Litre,Engrais,DCPT_UN,décomptes numéro 1,2025-2026,15
373316.0,RADIAN,RADIAN,48000,2025-08-18,0.0,0.0,O,O,O,3733,,True,Litre,insecticide bio,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368778.0,APPAREIL PULMIC SAGA 35,APPAREIL PULMIC SAGA 35 (APPAREIL A CACHE),25000,2024-06-06,0.0,0.0,O,O,O,3687,,True,Unité,App Hand Piec Rechan,NO_DCPT,Aucun Décompte,2025-2026,15
368240.0,INSECTOR MAX EN 50 G,INSECTOR MAX EN 50 G,600,2022-08-04,0.0,0.0,O,O,O,3682,,True,Sachet,prod traitsem,DCPT_UN,décomptes numéro 1,2025-2026,15
368148.0,DIABLO 80 DF EN SACHET,DIABLO 80 DF EN SACHET DE 225 g,1200,2017-04-25,0.0,0.0,O,O,O,3681,,True,Sachet,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368361.0,EMACOT FORT 60 G,EMACOT FORT 60 G,3600,2023-07-25,0.0,0.0,O,O,O,3683,,True,Sachet,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368722.0,RESSORT DE BOUCHON EXTERIEUR,RESSORT DE BOUCHON EXTERIEUR,250,2012-04-19,0.0,0.0,O,O,O,3687,,True,Unité,App Hand Piec Rechan,NO_DCPT,Aucun Décompte,2025-2026,15
368723.0,"VIS NP6 TYPE B 1/4"" REF.3456","VIS NP6 TYPE B 1/4"" REF.3456",30,2012-04-19,0.0,0.0,O,O,O,3687,,True,Unité,App Hand Piec Rechan,NO_DCPT,Aucun Décompte,2025-2026,15
368730.0,"TUYAU ALIMENTATION PVC 3/16""","TUYAU ALIMENTATION PVC 3/16""",225,2012-04-19,0.0,0.0,O,O,O,3687,,True,Unité,App Hand Piec Rechan,NO_DCPT,Aucun Décompte,2025-2026,15
368734.0,"VIS NP10 LONGUEUR 2"" REF.4407","VIS NP10 LONGUEUR 2"" REF.4407",250,2012-04-19,0.0,0.0,O,O,O,3687,,True,Unité,App Hand Piec Rechan,NO_DCPT,Aucun Décompte,2025-2026,15
369123.0,BOULON A OEIL DE COUTRIERE,BOULON A OEIL DE COUTRIERE,1000,2020-06-02,0.0,0.0,O,O,O,3691,,True,Unité,CHAR T34/MC3 PI RECH,NO_DCPT,Aucun Décompte,2025-2026,15
369124.0,TIREFOND 8 X 120,TIREFOND 8 X 120,100,2020-06-02,0.0,0.0,O,O,O,3691,,True,Unité,CHAR T34/MC3 PI RECH,NO_DCPT,Aucun Décompte,2025-2026,15
369125.0,BOULON TFCC 10 X 40,BOULON TFCC 10 X 40,350,2020-06-02,0.0,0.0,O,O,O,3691,,True,Unité,CHAR T34/MC3 PI RECH,NO_DCPT,Aucun Décompte,2025-2026,15
369126.0,BOULON TFCC 14 X 40,BOULON TFCC 14 X 40,350,2020-06-02,0.0,0.0,O,O,O,3691,,True,Unité,CHAR T34/MC3 PI RECH,NO_DCPT,Aucun Décompte,2025-2026,15
369127.0,BOULON TFE 12 X 35,BOULON TFE 12 X 35,350,2020-06-02,0.0,0.0,O,O,O,3691,,True,Unité,CHAR T34/MC3 PI RECH,NO_DCPT,Aucun Décompte,2025-2026,15
369128.0,BOULON 12 X 60,BOULON 12 X 60,350,2020-06-02,0.0,0.0,O,O,O,3691,,True,Unité,CHAR T34/MC3 PI RECH,NO_DCPT,Aucun Décompte,2025-2026,15
369129.0,BOULON TFCC 12 X 45,BOULON TFCC 12 X 45,350,2020-06-02,0.0,0.0,O,O,O,3691,,True,Unité,CHAR T34/MC3 PI RECH,NO_DCPT,Aucun Décompte,2025-2026,15
369130.0,RONDELLE PLATE DE 10,RONDELLE PLATE DE 10,200,2020-06-02,0.0,0.0,O,O,O,3691,,True,Unité,CHAR T34/MC3 PI RECH,NO_DCPT,Aucun Décompte,2025-2026,15
369401.0,ENSEMBLE SARCLEUR COMPLET MC3/T34,ENSEMBLE SARCLEUR COMPLET MC3/T34 EQUIPE DE 3 COEURS DE 250 MM,36500,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369402.0,ENSEMBLE SARCLEUR COMPLET MC2/T27,ENSEMBLE SARCLEUR COMPLET MC2/T27 EQUIPE DE 3 COEURS DE 250 MN,36500,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369403.0,ADAPTATEUR AVANT 101 B02,ADAPTATEUR AVANT 101 B02,5800,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369404.0,BRIDE ADAPTATEUR/AGE T34 101,BRIDE ADAPTATEUR/AGE T34 101,900,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369405.0,DENT DE RESSORT 101 B04,DENT DE RESSORT 101 B04,5800,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369406.0,COEUR 250MM 101 B06,COEUR 250MM 101 B06,5500,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369407.0,POINTE REVERSIBLE 101 B07,POINTE REVERSIBLE 101 B07,2500,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369412.0,SEP BUTTEUR 101 C02,SEP BUTTEUR 101 C02,12500,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369413.0,POINTE CORPS BUTTEUR 101 C05,POINTE CORPS BUTTEUR 101 C05,2500,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369414.0,BOULON 10X50 CORPS BUTTEUR ADP,BOULON 10X50 CORPS BUTTEUR ADP,350,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369415.0,BOULON TFCC 9X30 FIXATION PTE.,BOULON TFCC 9X30 FIXATION PTE.,350,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369419.0,ENSEMBLE LAME SARCLEUR T20,ENSEMBLE LAME SARCLEUR T20 COMPOS2 D'UNE DENT + COEUR DE 300 MM,16000,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369421.0,BRICOLE POUR ANE,BRICOLE POUR ANE,3500,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369422.0,BRICOLE EQUINE,BRICOLE EQUINE,6500,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
368167.0,HERBISTAR 360 EN BIDON DE 5L,HERBISTAR 360 EN BIDON DE 5L,2500,2025-05-28,0.0,0.0,O,O,O,3681,,True,Litre,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368236.0,Agro GBS 30 p en sachet de 15 g,Agro GBS 30 p en sachet de 15 g,500,2024-05-30,0.0,0.0,O,O,O,3682,,True,Sachet,prod traitsem,DCPT_UN,décomptes numéro 1,2025-2026,15
368166.0,NIQUEL SUPER EN BIDON DE 1 LITRE,NIQUEL SUPER EN BIDON DE 1 LITRE,5000,2024-05-30,0.0,0.0,O,O,O,3681,,True,Litre,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368225.0,calthio l en litre,calthio l en litre,7000,2024-05-30,0.0,0.0,O,O,O,3682,,True,Litre,prod traitsem,DCPT_UN,décomptes numéro 1,2025-2026,15
260007.0,Coques de coton en sac de 40 kg,Coques de coton en sac de 40 kg,1300,2020-01-01,0.0,0.0,O,O,O,2600,,True,Sac,COQUE DE COTON,NO_DCPT,Aucun Décompte,2025-2026,15
368164.0,herbicoton en bidon de 5 litre,herbicoton en bidon de 5 litre,4000,2025-05-28,0.0,0.0,O,O,O,3681,,True,Litre,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368229.0,cofix bleu en bidon de 25 litres,cofix bleu en bidon de 25 litres,3650,2024-05-30,0.0,0.0,O,O,O,3682,,True,Litre,prod traitsem,DCPT_UN,décomptes numéro 1,2025-2026,15
368237.0,agro GBS 30 p en sachet de 25 g,agro GBS 30 p en sachet de 25 g,850,2024-05-30,0.0,0.0,O,O,O,3682,,True,Sachet,prod traitsem,DCPT_UN,décomptes numéro 1,2025-2026,15
368238.0,agro GSB 30 l en litre,agro GSB 30 l en litre,7000,2024-05-30,0.0,0.0,O,O,O,3682,,True,Litre,prod traitsem,DCPT_UN,décomptes numéro 1,2025-2026,15
368845.0,TUBE PVC 8 ID 12 OD X 9,TUBE PVC 8 ID 12 OD X 9,0,2012-04-19,0.0,0.0,O,O,O,3688,,True,Tube,App Ulv Piec Rechang,NO_DCPT,Aucun Décompte,2025-2026,15
368224.0,SAPHIR 60 WS,SAPHIR 60 WS EN SACHET DE 50 GRAMMES,500,2024-05-30,0.0,0.0,O,O,O,3682,,True,Sachet,prod traitsem,DCPT_UN,décomptes numéro 1,2025-2026,15
368404.0,PILES TIGER,PILES TIGER,200,2024-08-09,0.0,0.0,O,O,O,3684,,True,Unité,Piles,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368360.0,DENIM FIT,DENIM FIT SACHET DE 80 g,3400,2014-07-31,0.0,0.0,O,O,O,3683,,True,Sachet,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368144.0,COMMANDEUR 680,COMMANDEUR 680 EN SACHET DE 260 g,1200,2025-05-28,0.0,0.0,O,O,O,3681,,True,Sachet,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
369433.0,CLE PLATE DE 17-19,CLE PLATE DE 17-19,900,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369434.0,CLE PLATE DE 13-17,CLE PLATE DE 13-17,900,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369435.0,CORDE DE SEMIS,CORDE DE SEMIS,300,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369504.0,ECROU DE FIXATION DE ROUE,ECROU DE FIXATION DE ROUE,350,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369505.0,ROUE COMPLETE DE POUSSE,ROUE COMPLETE DE POUSSE,22000,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369506.0,TIMON DE CHARRETTE,TIMON DE CHARRETTE,31000,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369507.0,PNEU DE CHARRETTE TOUT MODELE,PNEU DE CHARRETTE TOUT MODELE,30000,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369508.0,CHAMBRE A AIR DE CHARRETTE,CHAMBRE A AIR DE CHARRETTE,4000,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369510.0,PNEU DE POUSSE-POUSSE,PNEU DE POUSSE-POUSSE,7200,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369511.0,CHAMBRE A AIR DE POUSSE,CHAMBRE A AIR DE POUSSE,2100,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369512.0,CHARRETTE ASINE METALLIQUE,CHARRETTE ASINE METALLIQUE MONTEE SUR ROULEMENT A BILLES ET PENEUMATIQUES DE 13,226000,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369513.0,BEQUILLE POUR CHARRETTE,BEQUILLE POUR CHARRETTE,10000,2020-06-02,0.0,0.0,O,O,O,3695,,True,Jeu,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369515.0,CHARRETTE MONOBOVINE COMPLETE,CHARRETTE MONOBOVINE COMPLETE,230000,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369516.0,ROULEMENT 30204,ROULEMENT 30204,6800,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369517.0,ROULEMENT 7205,ROULEMENT 7205,6800,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369518.0,ROULEMENT 7207,ROULEMENT 7207,10000,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369520.0,ROULEMENT 30206,ROULEMENT 30206,10000,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369521.0,ROULEMENT 30207,ROULEMENT 30207,10000,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369202.0,SOC AVEC BOULON T27 102-04,SOC AVEC BOULON T27 102-04,4500,2020-06-02,0.0,0.0,O,O,O,3692,,True,Unité,CHAR T27/MC2 PI RECH,NO_DCPT,Aucun Décompte,2025-2026,15
369203.0,VERSOIR + BOULON T27 102-03,VERSOIR + BOULON T27 102-03,6930,2020-06-02,0.0,0.0,O,O,O,3692,,True,Unité,CHAR T27/MC2 PI RECH,NO_DCPT,Aucun Décompte,2025-2026,15
369204.0,COUTRIERE T27 102-09,COUTRIERE T27 102-09,2100,2020-06-02,0.0,0.0,O,O,O,3692,,True,Unité,CHAR T27/MC2 PI RECH,NO_DCPT,Aucun Décompte,2025-2026,15
369206.0,SEP T27 102-02,SEP T27 102-02,8000,2020-06-02,0.0,0.0,O,O,O,3692,,True,Unité,CHAR T27/MC2 PI RECH,NO_DCPT,Aucun Décompte,2025-2026,15
369207.0,MANCHERON GAUCHE T27 102-18,MANCHERON GAUCHE T27 102-18,4000,2020-06-02,0.0,0.0,O,O,O,3692,,True,Unité,CHAR T27/MC2 PI RECH,NO_DCPT,Aucun Décompte,2025-2026,15
368156.0,AGIL 100 EC EN FLACON,AGIL 100 EC EN FLACON,1500,2020-06-02,0.0,0.0,O,O,O,3681,,True,Flacon,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
346001.0,GAZOLE,GAZOLE,585,2014-11-30,0.0,0.0,O,O,O,3460,,True,Litre,CARBURANT,NO_DCPT,Aucun Décompte,2025-2026,15
368369.0,INDOXAN 150 EC,INDOXAN 150 EC,42400,2024-08-09,0.0,0.0,O,O,O,3683,,True,Litre,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368370.0,PATRIOT 150 EC EN LITRE,PATRIOT 150 EC,42400,2024-08-09,0.0,0.0,O,O,O,3683,,True,Litre,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368371.0,INDOCALM 150 EC,INDOCALM 150 EC,42400,2024-08-09,0.0,0.0,O,O,O,3683,,True,Litre,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368374.0,MORAN 150 EC,MORAN 150 EC,39600,2020-08-18,0.0,0.0,O,O,O,3683,,True,Litre,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368375.0,MORAN 30 DF EN SACHET DE 42 G,MORAN 30 DF EN SACHET DE 42 G,3600,2024-08-09,0.0,0.0,O,O,O,3683,,True,Sachet,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368372.0,KRISS 200 SL,KRISS 200 SL,10000,2024-08-09,0.0,0.0,O,O,O,3683,,True,Litre,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368373.0,BELUGA 480 SC EN BIDON DE 939 ML,BELUGE 480 SC EN BIDON DE 939 ML,20400,2022-08-04,0.0,0.0,O,O,O,3683,,True,Bidon,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
3696.0,POT DE PEINTURE VERT DE 4 KG,POT DE PEINTURE VERT DE 4 KG,12000,2020-08-18,0.0,0.0,O,O,O,3696,,True,Unité,Divers,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368918.0,MOTEUR SAGA,MOTEUR SAGA,6050,2012-04-12,0.0,0.0,O,O,O,3689,,True,Unité,APPAREIL PULV SAGA,NO_DCPT,Aucun Décompte,2025-2026,15
369201.0,CHARRUE T27,CHARRUE T27,60000,2024-11-05,0.0,0.0,O,O,O,3692,,True,Unité,CHAR T27/MC2 PI RECH,NO_DCPT,Aucun Décompte,2025-2026,15
368516.0,ETHIDIUM,ETHIDIUM,350,2012-01-01,0.0,0.0,O,O,O,3685,,True,Com,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368517.0,TRYPAMIDIUM 125 MG,TRYPAMIDIUM 125 MG,700,2012-01-01,0.0,0.0,O,O,O,3685,,True,Sachet,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368518.0,TRYPAMIDIUM 1 G,TRYPAMIDIUM 1G,3500,2012-01-01,0.0,0.0,O,O,O,3685,,True,Sachet,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368519.0,VERIBEN 1.05 G,VERIBEN 1.05G,400,2012-01-01,0.0,0.0,O,O,O,3685,,True,Sachet,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368520.0,VERIBEN 10.5G,VERIBEN 10.5G,2000,2012-01-01,0.0,0.0,O,O,O,3685,,True,Sachet,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368523.0,NOVIDIUM,NOVIDIUM,350,2012-01-01,0.0,0.0,O,O,O,3685,,True,Com,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368524.0,CYPERCAL 12 EC EN FLACON DE 1L,CYPERCAL 12 EC EN FLACON DE 1L,3000,2012-01-01,0.0,0.0,O,O,O,3685,,True,Litre,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368525.0,VERIDIUM 125 MG,VERIDIUM 125 MG,500,2012-01-01,0.0,0.0,O,O,O,3685,,True,Sachet,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368527.0,TRYPADIM 10.5G,TRYPADIM 10.5G,2000,2012-01-01,0.0,0.0,O,O,O,3685,,True,Sachet,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368528.0,TRYPADIM 1.05G,TRYPADIM 1.05G,400,2012-01-01,0.0,0.0,O,O,O,3685,,True,Sachet,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368529.0,BOLUMISOLE 1 OVIN,BOLUMISOLE 1 OVIN,150,2012-01-01,0.0,0.0,O,O,O,3685,,True,Com,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368530.0,BOLUMISOLE 3 BOVIN,BOLUMISOLE 3 BOVIN,200,2012-01-01,0.0,0.0,O,O,O,3685,,True,Com,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368532.0,SYNANTHIC,SYNANTHIC,200,2012-01-01,0.0,0.0,O,O,O,3685,,True,Com,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368534.0,VERMITAN 152 MG,VERMITAN 152 MG,150,2012-01-01,0.0,0.0,O,O,O,3685,,True,Com,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368535.0,VERMITAN 2500 MG,VERMITAN 2500 MG,400,2012-01-01,0.0,0.0,O,O,O,3685,,True,Com,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368536.0,VERMIFUGE POLYVALENTVOLAILLE,VERMIFUGE POLYVALENT VOLAILLE,50,2012-01-01,0.0,0.0,O,O,O,3685,,True,Com,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368539.0,IVOMEC D 50 ML,IVOMEC D 50 ML,21000,2012-01-01,0.0,0.0,O,O,O,3685,,True,Flacon,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368540.0,BENZAL 2500 MG,BENZAL 2500 MG,450,2012-01-01,0.0,0.0,O,O,O,3685,,True,Com,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368542.0,BENZAL 300 MG,BENZAL 300 MG,200,2012-01-01,0.0,0.0,O,O,O,3685,,True,Com,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368543.0,BOLUVIT AE,BOLUVIT AE,350,2012-01-01,0.0,0.0,O,O,O,3685,,True,Com,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368544.0,OLIVITASOL,OLIVITASOL,350,2012-01-01,0.0,0.0,O,O,O,3685,,True,Sachet,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368545.0,OXYFURAN 4,OXYFURAN 4,75,2012-01-01,0.0,0.0,O,O,O,3685,,True,Com,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368546.0,FERROBLOC,FERROBLOC,400,2012-01-01,0.0,0.0,O,O,O,3685,,True,Com,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368547.0,FERCOBSANG 100 MG,FERCOBSANG 100 MG,2600,2012-01-01,0.0,0.0,O,O,O,3685,,True,Flacon,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368552.0,PHENYLARTHRITE 100 ML,PHENYLARTHRITE 100 ML,3500,2012-01-01,0.0,0.0,O,O,O,3685,,True,Flacon,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368556.0,CHLORTETRAZONE 50 ML,CHLORTETRAZONE 50 ML,2500,2012-01-01,0.0,0.0,O,O,O,3685,,True,Flacon,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368557.0,DOMINEX 7.5,DOMINEX 7.5,650,2012-01-01,0.0,0.0,O,O,O,3685,,True,Flacon,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368558.0,SEBOVET,SEBOVET,2000,2012-01-01,0.0,0.0,O,O,O,3685,,True,Flacon,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368596.0,ANTICOX,ANTICOX,2500,2012-01-01,0.0,0.0,O,O,O,3685,,True,Sachet,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368589.0,ERADIK 7.5 CC,ERADIK 7.5 CC,600,2012-01-01,0.0,0.0,O,O,O,3685,,True,Flacon,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368580.0,KELAVITASOL,KELAVITASOL,350,2012-01-01,0.0,0.0,O,O,O,3685,,True,Sachet,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368567.0,ALBENDAZOLE 2500 MG,ALBENDAZOLE 2500 MG,350,2012-01-01,0.0,0.0,O,O,O,3685,,True,Com,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368585.0,COMBIKEL 40 LA,COMBIKEL 40 LA,4000,2012-01-01,0.0,0.0,O,O,O,3685,,True,Flacon,Produits Vétérinaire,NO_DCPT,Aucun Décompte,2025-2026,15
368901.0,APPAREIL SAGA 35,APPAREIL SAGA 35 A CACHE,41000,2013-04-03,0.0,0.0,O,O,O,3689,,True,Unité,APPAREIL PULV SAGA,NO_DCPT,Aucun Décompte,2025-2026,15
368354.0,PIX 5%,PIX 5%,3000,2024-08-09,0.0,0.0,O,O,O,3683,,True,Litre,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368357.0,STEWARD 150 EC,STEWARD 150 EC EN BIDON DE 1.02 L,39600,2020-08-18,0.0,0.0,O,O,O,3683,,True,Bidon,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368347.0,TIHAN 175,TIHAN 175 O-TEG (FLACON DE 100 ML),36000,2024-08-04,0.0,0.0,O,O,O,3683,,True,Flacon,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368006.0,ENGRAIS AVARIES,ENGRAIS AVARIES(TOUTE FORMULE),410,2015-05-09,0.0,0.0,O,O,O,3680,,True,Kilogramme,Engrais,DCPT_UN,décomptes numéro 1,2025-2026,15
368353.0,CYPERCOT 100 EC,CYPERCOT 100 EC,1700,2019-09-05,0.0,0.0,O,O,O,3683,,True,Litre,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
369440.0,SEMOIR MECANIQUE,SEMOIR MECANIQUE SUPER ECO AVEC 3 DISQUES,170000,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
368349.0,YASMIN 019 EC,YASMIN 019 EC,10200,2018-08-08,0.0,0.0,O,O,O,3683,,True,Litre,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368344.0,EMACOT 50 WG,EMACOT 50 WG sachet de 100g,3300,2020-08-18,0.0,0.0,O,O,O,3683,,True,Sachet,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
