idCampagne,campagne,idRegion,libelleRegion,idSecteur,libelleSecteur,idGroupement,libelleGroupement,S_Prevu,S_realise,TonnagePrevu,TonnageRealise,TonnageEvacue,TonnageAchete,TonnagePaye,NetAPaye,MontantPaye,Credit,RemboursementCredit,Arriere,RemboursementArriere
1.0,2011/2012,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,0.0,0.0,0,0,0,0,0,0,0,62273640,9179040,14689710,0
10.0,2020/2021,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,91.0,91.0,137000,139740,139740,0,0,0,0,19612255,19612255,0,0
11.0,2021/2022,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,100.0,100.0,182000,161580,161580,314030,314030,22315365,22315365,19111500,19111500,0,0
12.0,2022/2023,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,107.0,107.0,175000,131440,131440,128408,128408,14157215,14157215,23158360,23158360,0,0
13.0,2023/2024,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,110.0,110.0,165000,167760,167760,164288,164288,15320355,15320355,32449100,32449100,0,0
14.0,2024/2025,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,94.0,95.0,155000,122620,122620,120603,120603,9317020,9317020,25764250,25764250,0,0
15.0,2025/2026,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,90.0,96.0,140000,150560,50591,50591,50591,6933205,6933205,24737760,7485230,0,0
2.0,2012/2013,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,0.0,0.0,180000,177750,177750,0,0,0,0,106385088,106385088,12268275,19815
3.0,2013/2014,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,150.0,149.0,193330,160210,160210,0,0,0,0,112829180,112829180,17147844,0
4.0,2014/2015,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,114.0,114.0,155000,165560,165560,0,0,0,0,94725712,94725712,17147844,3523324
5.0,2015/2016,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,107.0,107.0,152000,159320,159320,0,0,0,0,59111805,59111805,9731800,86975
6.0,2016/2017,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,109.0,109.0,160000,153190,153190,0,0,0,0,60374520,60374520,11573790,3641760
7.0,2017/2018,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,103.0,103.0,173000,177980,177980,0,0,0,0,19981510,19981510,6610025,6610025
8.0,2018/2019,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,109.0,106.0,205000,138140,138140,0,0,0,0,21507480,21507480,0,0
9.0,2019/2020,9,MAYO-GALKE,97,BAIKWA,233051,ABAKOURA,99.0,106.0,149000,133060,133060,0,0,0,0,21058040,21058040,0,0
9.0,2019/2020,9,MAYO-GALKE,97,BAIKWA,233036,ALARBA,0.0,0.0,0,0,0,0,0,0,0,0,0,1853700,0
8.0,2018/2019,9,MAYO-GALKE,97,BAIKWA,233036,ALARBA,0.0,0.0,0,0,0,0,0,0,0,0,0,1853700,0
7.0,2017/2018,9,MAYO-GALKE,97,BAIKWA,233036,ALARBA,0.0,0.0,0,0,0,0,0,0,0,0,0,1853700,0
6.0,2016/2017,9,MAYO-GALKE,97,BAIKWA,233036,ALARBA,0.0,0.0,0,0,0,0,0,0,0,0,0,1853700,0
5.0,2015/2016,9,MAYO-GALKE,97,BAIKWA,233036,ALARBA,0.0,0.0,0,0,0,0,0,0,0,0,0,1853700,0
