Année,Station,Pluie_cycle_mm,Pluie_0_30j_mm,Pluie_30_60j_mm,Pluie_60_90j_mm,Pluie_90_120j_mm,Nb_jours_pluie,Pluie_max_24h,Max_jours_secs,Pluie_Mai_Oct_mm,Pluie_Mai_Juin_mm,Pluie_Juil_Aout_mm,Pluie_Sept_Oct_mm,Pluie_Annuelle_mm
1994,Garoua,,,,,,,,,,,,,1236.0
1995,Garoua,,,,,,,,,,,,,976.0
1996,Garoua,,,,,,,,,,,,,1207.0
1997,Garoua,,,,,,,,,,,,,967.0
1998,Garoua,,,,,,,,,,,,,903.0
1999,Garoua,,,,,,,,,,,,,1167.0
2000,Garoua,,,,,,,,,,,,,842.0
2001,Garoua,,,,,,,,,,,,,928.0
2002,Garoua,,,,,,,,,,,,,773.0
2003,Garoua,,,,,,,,,,,,,1174.0
2004,Garoua,,,,,,,,,,,,,999.0
2005,Garoua,,,,,,,,,,,,,1010.0
2006,Garoua,,,,,,,,,,,,,1325.0
2007,Garoua,,,,,,,,,,,,,941.0
2008,Garoua,,,,,,,,,,,,,1129.0
2009,Garoua,,,,,,,,,,,,,1142.0
2010,Garoua,,,,,,,,,,,,,822.0
2011,Garoua,,,,,,,,,,,,,689.0
2012,Garoua,,,,,,,,,,,,,1118.0
2013,Garoua,,,,,,,,,,,,,761.0
2014,Garoua,305.0,91.0,168.0,46.0,0.0,26.0,40.0,0.0,315.0,216.0,99.0,,890.0
2015,Garoua,950.0,120.0,180.0,105.0,261.0,59.0,90.0,0.0,1007.0,244.0,321.0,442.0,1011.0
2016,Garoua,913.0,179.0,141.0,273.0,270.0,51.0,70.0,0.0,974.0,336.0,437.0,201.0,783.0
2017,Garoua,858.0,191.0,173.0,145.0,141.0,56.0,70.0,0.0,922.0,346.0,317.0,259.0,1013.0
2018,Garoua,1042.0,61.0,165.0,270.0,428.0,50.0,115.0,0.0,1082.0,171.0,672.0,239.0,994.0
2019,Garoua,897.0,203.0,187.0,105.0,209.0,57.0,60.0,0.0,1018.0,308.0,357.0,353.0,1041.0
2020,Garoua,713.0,61.0,169.0,138.0,109.0,46.0,55.0,0.0,755.0,183.0,243.0,329.0,683.0
2021,Garoua,1016.0,108.0,355.0,206.0,254.0,52.0,106.0,0.0,1090.0,287.0,593.0,210.0,1185.0
2024,Garoua,,,,,,,,,,,,,925.0
1994,Guider,,,,,,,,,,,,,1236.0
1995,Guider,,,,,,,,,,,,,976.0
1996,Guider,,,,,,,,,,,,,1207.0
1997,Guider,,,,,,,,,,,,,967.0
1998,Guider,,,,,,,,,,,,,903.0
1999,Guider,,,,,,,,,,,,,1167.0
2000,Guider,,,,,,,,,,,,,842.0
2001,Guider,,,,,,,,,,,,,928.0
2002,Guider,,,,,,,,,,,,,773.0
2003,Guider,,,,,,,,,,,,,1174.0
2004,Guider,,,,,,,,,,,,,999.0
2005,Guider,,,,,,,,,,,,,1010.0
2006,Guider,,,,,,,,,,,,,1325.0
2007,Guider,,,,,,,,,,,,,941.0
2008,Guider,,,,,,,,,,,,,1129.0
2009,Guider,,,,,,,,,,,,,1142.0
2010,Guider,,,,,,,,,,,,,822.0
2011,Guider,,,,,,,,,,,,,689.0
2012,Guider,,,,,,,,,,,,,1118.0
2013,Guider,,,,,,,,,,,,,761.0
2014,Guider,335.0,48.0,211.0,76.0,0.0,21.0,47.0,0.0,378.0,215.0,163.0,,818.0
2015,Guider,866.0,85.0,102.0,225.0,344.0,58.0,66.0,0.0,901.0,151.0,496.0,254.0,905.0
2016,Guider,701.0,71.0,87.0,234.0,154.0,51.0,62.0,0.0,796.0,176.0,395.0,225.0,584.0
2017,Guider,564.0,89.0,148.0,82.0,150.0,42.0,55.0,0.0,581.0,176.0,274.0,131.0,591.0
2018,Guider,788.0,90.0,112.0,224.0,276.0,44.0,117.0,0.0,823.0,168.0,533.0,122.0,786.0
2019,Guider,748.0,162.0,130.0,165.0,184.0,53.0,50.0,0.0,879.0,247.0,372.0,260.0,885.0
2020,Guider,724.0,100.0,160.0,130.0,138.0,43.0,48.0,0.0,762.0,250.0,262.0,250.0,730.0
2021,Guider,926.0,68.0,166.0,326.0,287.0,51.0,87.0,0.0,1074.0,238.0,630.0,206.0,1077.0
2024,Guider,,,,,,,,,,,,,800.0
1994,Homé,,,,,,,,,,,,,1351.0
1995,Homé,,,,,,,,,,,,,1554.0
1996,Homé,,,,,,,,,,,,,1530.0
1997,Homé,,,,,,,,,,,,,1467.0
1998,Homé,,,,,,,,,,,,,1443.0
1999,Homé,,,,,,,,,,,,,1511.0
2000,Homé,,,,,,,,,,,,,1235.0
2001,Homé,,,,,,,,,,,,,1708.0
2002,Homé,,,,,,,,,,,,,1435.0
2003,Homé,,,,,,,,,,,,,1183.0
2004,Homé,,,,,,,,,,,,,917.0
2005,Homé,,,,,,,,,,,,,1336.0
2006,Homé,,,,,,,,,,,,,1076.0
2007,Homé,,,,,,,,,,,,,1050.0
2008,Homé,,,,,,,,,,,,,1086.0
2009,Homé,,,,,,,,,,,,,1613.0
2010,Homé,,,,,,,,,,,,,1368.0
2011,Homé,,,,,,,,,,,,,1259.0
2012,Homé,,,,,,,,,,,,,1518.0
2013,Homé,,,,,,,,,,,,,1352.0
2014,Homé,522.0,135.0,186.0,201.0,0.0,30.0,40.0,0.0,610.0,294.0,316.0,,1336.0
2015,Homé,1245.0,149.0,224.0,396.0,254.0,77.0,60.0,0.0,1304.0,222.0,675.0,407.0,1327.0
2016,Homé,1139.0,225.0,251.0,296.0,269.0,78.0,70.0,0.0,1227.0,333.0,634.0,260.0,1027.0
2017,Homé,1352.0,175.0,347.0,387.0,196.0,82.0,96.0,0.0,1425.0,414.0,680.0,331.0,1461.0
2018,Homé,1021.0,80.0,311.0,226.0,268.0,69.0,84.0,0.0,1151.0,406.0,553.0,192.0,1111.0
2019,Homé,1412.0,299.0,312.0,292.0,305.0,90.0,90.0,0.0,1729.0,588.0,583.0,558.0,1860.0
2020,Homé,855.0,109.0,194.0,190.0,181.0,78.0,82.0,0.0,885.0,223.0,380.0,282.0,917.0
2021,Homé,1170.0,92.0,257.0,300.0,356.0,70.0,70.0,0.0,1258.0,251.0,578.0,429.0,1407.0
2024,Homé,,,,,,,,,,,,,1600.0
1994,Kaélé,,,,,,,,,,,,,1034.0
1995,Kaélé,,,,,,,,,,,,,1030.0
1996,Kaélé,,,,,,,,,,,,,1080.0
1997,Kaélé,,,,,,,,,,,,,885.0
1998,Kaélé,,,,,,,,,,,,,883.0
1999,Kaélé,,,,,,,,,,,,,813.0
2000,Kaélé,,,,,,,,,,,,,879.0
2001,Kaélé,,,,,,,,,,,,,904.0
2002,Kaélé,,,,,,,,,,,,,616.0
2003,Kaélé,,,,,,,,,,,,,1058.0
2004,Kaélé,,,,,,,,,,,,,799.0
2005,Kaélé,,,,,,,,,,,,,856.0
2006,Kaélé,,,,,,,,,,,,,1234.0
2007,Kaélé,,,,,,,,,,,,,967.0
2008,Kaélé,,,,,,,,,,,,,1271.0
2009,Kaélé,,,,,,,,,,,,,918.0
2010,Kaélé,,,,,,,,,,,,,1010.0
2011,Kaélé,,,,,,,,,,,,,816.0
2012,Kaélé,,,,,,,,,,,,,1079.0
2013,Kaélé,,,,,,,,,,,,,806.0
2014,Kaélé,376.0,38.0,137.0,201.0,0.0,26.0,82.0,0.0,465.0,204.0,261.0,,892.0
2015,Kaélé,762.0,109.0,115.0,149.0,266.0,58.0,78.0,0.0,790.0,187.0,366.0,237.0,790.0
2016,Kaélé,892.0,133.0,107.0,329.0,229.0,58.0,76.0,0.0,922.0,229.0,521.0,172.0,672.0
2017,Kaélé,738.0,152.0,89.0,153.0,181.0,61.0,75.0,0.0,740.0,172.0,348.0,220.0,742.0
2018,Kaélé,1040.0,133.0,224.0,293.0,284.0,58.0,80.0,0.0,1086.0,268.0,607.0,211.0,983.0
2019,Kaélé,918.0,118.0,155.0,161.0,347.0,56.0,100.0,0.0,1049.0,212.0,524.0,313.0,1049.0
2020,Kaélé,913.0,74.0,132.0,277.0,246.0,63.0,52.0,0.0,947.0,171.0,507.0,269.0,876.0
2021,Kaélé,787.0,79.0,137.0,249.0,220.0,59.0,55.0,0.0,812.0,159.0,491.0,162.0,812.0
2024,Kaélé,,,,,,,,,,,,,1020.0
1994,Maroua,,,,,,,,,,,,,1075.0
1995,Maroua,,,,,,,,,,,,,864.0
1996,Maroua,,,,,,,,,,,,,795.0
1997,Maroua,,,,,,,,,,,,,681.0
1998,Maroua,,,,,,,,,,,,,659.0
1999,Maroua,,,,,,,,,,,,,1011.0
2000,Maroua,,,,,,,,,,,,,683.0
2001,Maroua,,,,,,,,,,,,,838.0
2002,Maroua,,,,,,,,,,,,,651.0
2003,Maroua,,,,,,,,,,,,,1077.0
2004,Maroua,,,,,,,,,,,,,719.0
2005,Maroua,,,,,,,,,,,,,1039.0
2006,Maroua,,,,,,,,,,,,,776.0
2007,Maroua,,,,,,,,,,,,,954.0
2008,Maroua,,,,,,,,,,,,,739.0
2009,Maroua,,,,,,,,,,,,,970.0
2010,Maroua,,,,,,,,,,,,,870.0
2011,Maroua,,,,,,,,,,,,,664.0
2012,Maroua,,,,,,,,,,,,,839.0
2013,Maroua,,,,,,,,,,,,,999.0
2014,Maroua,473.0,55.0,219.0,199.0,0.0,27.0,68.0,0.0,512.0,213.0,299.0,,888.0
2015,Maroua,661.0,89.0,95.0,161.0,184.0,53.0,50.0,0.0,680.0,138.0,330.0,212.0,680.0
2016,Maroua,688.0,51.0,137.0,168.0,192.0,47.0,75.0,0.0,698.0,115.0,359.0,224.0,466.0
2017,Maroua,599.0,146.0,143.0,151.0,76.0,53.0,92.0,0.0,609.0,182.0,329.0,98.0,625.0
2018,Maroua,1069.0,207.0,104.0,383.0,274.0,61.0,61.0,0.0,1100.0,266.0,597.0,237.0,1020.0
2019,Maroua,933.0,117.0,76.0,270.0,306.0,68.0,65.0,0.0,1095.0,181.0,592.0,322.0,1100.0
2020,Maroua,1019.0,67.0,209.0,171.0,421.0,55.0,156.0,0.0,1031.0,223.0,476.0,332.0,1014.0
2021,Maroua,876.0,105.0,201.0,303.0,175.0,50.0,104.0,0.0,910.0,143.0,609.0,158.0,918.0
2024,Maroua,,,,,,,,,,,,,1100.0
1994,Mayo Galké,,,,,,,,,,,,,1312.0
1995,Mayo Galké,,,,,,,,,,,,,1293.0
1996,Mayo Galké,,,,,,,,,,,,,1040.0
1997,Mayo Galké,,,,,,,,,,,,,1267.0
1998,Mayo Galké,,,,,,,,,,,,,1375.0
1999,Mayo Galké,,,,,,,,,,,,,1347.0
2000,Mayo Galké,,,,,,,,,,,,,1182.0
2001,Mayo Galké,,,,,,,,,,,,,1404.0
2002,Mayo Galké,,,,,,,,,,,,,1208.0
2003,Mayo Galké,,,,,,,,,,,,,1448.0
2004,Mayo Galké,,,,,,,,,,,,,1141.0
2005,Mayo Galké,,,,,,,,,,,,,1059.0
2006,Mayo Galké,,,,,,,,,,,,,1259.0
2007,Mayo Galké,,,,,,,,,,,,,1126.0
2008,Mayo Galké,,,,,,,,,,,,,1275.0
2009,Mayo Galké,,,,,,,,,,,,,1371.0
2010,Mayo Galké,,,,,,,,,,,,,1781.0
2011,Mayo Galké,,,,,,,,,,,,,1134.0
2012,Mayo Galké,,,,,,,,,,,,,1786.0
2013,Mayo Galké,,,,,,,,,,,,,1039.0
2014,Mayo Galké,506.0,95.0,251.0,160.0,0.0,37.0,54.0,0.0,574.0,291.0,283.0,,1462.0
2015,Mayo Galké,1050.0,138.0,315.0,197.0,262.0,67.0,90.0,0.0,1101.0,287.0,584.0,230.0,1282.0
2016,Mayo Galké,899.0,120.0,139.0,350.0,147.0,65.0,75.0,0.0,947.0,176.0,559.0,212.0,1183.0
2017,Mayo Galké,1130.0,172.0,221.0,314.0,229.0,58.0,101.0,0.0,1174.0,386.0,463.0,325.0,1532.0
2018,Mayo Galké,1181.0,152.0,208.0,310.0,297.0,62.0,95.0,0.0,1256.0,342.0,560.0,354.0,1390.0
2019,Mayo Galké,1173.0,272.0,179.0,209.0,277.0,61.0,82.0,0.0,1395.0,344.0,529.0,522.0,1672.0
2020,Mayo Galké,824.0,112.0,141.0,209.0,205.0,59.0,47.0,0.0,880.0,226.0,418.0,236.0,1213.0
2021,Mayo Galké,977.0,96.0,257.0,227.0,246.0,46.0,60.0,0.0,1078.0,227.0,563.0,288.0,1370.0
2024,Mayo Galké,,,,,,,,,,,,,1320.0
1994,Ngong,,,,,,,,,,,,,1070.0
1995,Ngong,,,,,,,,,,,,,988.0
1996,Ngong,,,,,,,,,,,,,1121.0
1997,Ngong,,,,,,,,,,,,,912.0
1998,Ngong,,,,,,,,,,,,,874.0
1999,Ngong,,,,,,,,,,,,,1094.0
2000,Ngong,,,,,,,,,,,,,1044.0
2001,Ngong,,,,,,,,,,,,,801.0
2002,Ngong,,,,,,,,,,,,,678.0
2003,Ngong,,,,,,,,,,,,,976.0
2004,Ngong,,,,,,,,,,,,,746.0
2005,Ngong,,,,,,,,,,,,,879.0
2006,Ngong,,,,,,,,,,,,,1132.0
2007,Ngong,,,,,,,,,,,,,1087.0
2008,Ngong,,,,,,,,,,,,,1021.0
2009,Ngong,,,,,,,,,,,,,1131.0
2010,Ngong,,,,,,,,,,,,,972.0
2011,Ngong,,,,,,,,,,,,,776.0
2012,Ngong,,,,,,,,,,,,,1446.0
2013,Ngong,,,,,,,,,,,,,1098.0
2014,Ngong,392.0,52.0,243.0,97.0,0.0,23.0,43.0,0.0,510.0,290.0,220.0,,1121.0
2015,Ngong,948.0,143.0,97.0,118.0,287.0,53.0,65.0,0.0,1004.0,221.0,283.0,500.0,1007.0
2016,Ngong,1035.0,267.0,119.0,250.0,288.0,47.0,90.0,0.0,1083.0,351.0,498.0,234.0,813.0
2017,Ngong,826.0,108.0,136.0,142.0,182.0,55.0,77.0,0.0,829.0,184.0,288.0,357.0,853.0
2018,Ngong,916.0,86.0,154.0,301.0,290.0,54.0,84.0,0.0,1005.0,264.0,539.0,202.0,965.0
2019,Ngong,1060.0,148.0,182.0,196.0,307.0,61.0,73.0,0.0,1140.0,290.0,431.0,419.0,1188.0
2020,Ngong,723.0,101.0,144.0,216.0,117.0,40.0,83.0,0.0,746.0,205.0,325.0,216.0,697.0
2021,Ngong,772.0,72.0,203.0,223.0,249.0,46.0,49.0,0.0,900.0,164.0,547.0,189.0,927.0
2024,Ngong,,,,,,,,,,,,,810.0
1994,Poli,,,,,,,,,,,,,1036.0
1995,Poli,,,,,,,,,,,,,1409.0
1996,Poli,,,,,,,,,,,,,1296.0
1997,Poli,,,,,,,,,,,,,1654.0
1998,Poli,,,,,,,,,,,,,1363.0
1999,Poli,,,,,,,,,,,,,1148.0
2000,Poli,,,,,,,,,,,,,1303.0
2001,Poli,,,,,,,,,,,,,1181.0
2002,Poli,,,,,,,,,,,,,1132.0
2003,Poli,,,,,,,,,,,,,1206.0
2004,Poli,,,,,,,,,,,,,949.0
2005,Poli,,,,,,,,,,,,,1083.0
2006,Poli,,,,,,,,,,,,,1370.0
2007,Poli,,,,,,,,,,,,,1285.0
2008,Poli,,,,,,,,,,,,,1230.0
2009,Poli,,,,,,,,,,,,,1477.0
2010,Poli,,,,,,,,,,,,,1032.0
2011,Poli,,,,,,,,,,,,,892.0
2012,Poli,,,,,,,,,,,,,1783.0
2013,Poli,,,,,,,,,,,,,1170.0
2014,Poli,545.0,114.0,269.0,162.0,0.0,25.0,49.0,0.0,698.0,411.0,287.0,,1280.0
2015,Poli,1186.0,168.0,133.0,286.0,395.0,65.0,73.0,0.0,1258.0,265.0,615.0,378.0,1112.0
2016,Poli,1405.0,208.0,266.0,326.0,367.0,77.0,55.0,0.0,1411.0,294.0,695.0,422.0,754.0
2017,Poli,1413.0,113.0,341.0,388.0,356.0,70.0,95.0,0.0,1436.0,334.0,732.0,370.0,1235.0
2018,Poli,1497.0,208.0,212.0,407.0,390.0,75.0,93.0,0.0,1653.0,410.0,668.0,575.0,1161.0
2019,Poli,1370.0,233.0,325.0,256.0,275.0,78.0,112.0,0.0,1577.0,463.0,584.0,530.0,1438.0
2020,Poli,1119.0,196.0,240.0,264.0,204.0,65.0,70.0,0.0,1252.0,437.0,465.0,350.0,909.0
2021,Poli,1081.0,131.0,345.0,198.0,299.0,58.0,77.0,0.0,1287.0,440.0,621.0,226.0,1122.0
2024,Poli,,,,,,,,,,,,,1515.0
1994,Tchatibali,,,,,,,,,,,,,981.0
1995,Tchatibali,,,,,,,,,,,,,1055.0
1996,Tchatibali,,,,,,,,,,,,,1162.0
1997,Tchatibali,,,,,,,,,,,,,903.0
1998,Tchatibali,,,,,,,,,,,,,1049.0
1999,Tchatibali,,,,,,,,,,,,,960.0
2000,Tchatibali,,,,,,,,,,,,,661.0
2001,Tchatibali,,,,,,,,,,,,,989.0
2002,Tchatibali,,,,,,,,,,,,,704.0
2003,Tchatibali,,,,,,,,,,,,,1100.0
2004,Tchatibali,,,,,,,,,,,,,774.0
2005,Tchatibali,,,,,,,,,,,,,748.0
2006,Tchatibali,,,,,,,,,,,,,895.0
2007,Tchatibali,,,,,,,,,,,,,963.0
2008,Tchatibali,,,,,,,,,,,,,967.0
2009,Tchatibali,,,,,,,,,,,,,878.0
2010,Tchatibali,,,,,,,,,,,,,817.0
2011,Tchatibali,,,,,,,,,,,,,588.0
2012,Tchatibali,,,,,,,,,,,,,889.0
2013,Tchatibali,,,,,,,,,,,,,778.0
2014,Tchatibali,474.0,47.0,199.0,228.0,0.0,23.0,101.0,0.0,485.0,117.0,368.0,,988.0
2015,Tchatibali,664.0,73.0,74.0,174.0,219.0,49.0,53.0,0.0,669.0,124.0,316.0,229.0,669.0
2016,Tchatibali,660.0,90.0,110.0,159.0,202.0,56.0,60.0,0.0,686.0,188.0,348.0,150.0,504.0
2017,Tchatibali,822.0,116.0,118.0,306.0,168.0,53.0,71.0,0.0,833.0,151.0,497.0,185.0,835.0
2018,Tchatibali,778.0,144.0,179.0,133.0,233.0,47.0,64.0,0.0,858.0,366.0,235.0,257.0,782.0
2019,Tchatibali,1067.0,174.0,207.0,293.0,285.0,53.0,100.0,0.0,1157.0,297.0,631.0,229.0,1162.0
2020,Tchatibali,808.0,70.0,141.0,245.0,195.0,43.0,85.0,0.0,821.0,170.0,447.0,204.0,782.0
2021,Tchatibali,1015.0,56.0,141.0,297.0,352.0,43.0,110.0,0.0,1047.0,127.0,710.0,210.0,1033.0
2024,Tchatibali,,,,,,,,,,,,,1065.0
1994,Touboro,,,,,,,,,,,,,1077.0
1995,Touboro,,,,,,,,,,,,,1463.0
1996,Touboro,,,,,,,,,,,,,1446.0
1997,Touboro,,,,,,,,,,,,,1329.0
1998,Touboro,,,,,,,,,,,,,1335.0
1999,Touboro,,,,,,,,,,,,,1531.0
2000,Touboro,,,,,,,,,,,,,1066.0
2001,Touboro,,,,,,,,,,,,,1404.0
2002,Touboro,,,,,,,,,,,,,1064.0
2003,Touboro,,,,,,,,,,,,,1481.0
2004,Touboro,,,,,,,,,,,,,1409.0
2005,Touboro,,,,,,,,,,,,,1183.0
2006,Touboro,,,,,,,,,,,,,1473.0
2007,Touboro,,,,,,,,,,,,,1172.0
2008,Touboro,,,,,,,,,,,,,1495.0
2009,Touboro,,,,,,,,,,,,,1224.0
2010,Touboro,,,,,,,,,,,,,1483.0
2011,Touboro,,,,,,,,,,,,,1361.0
2012,Touboro,,,,,,,,,,,,,1628.0
2013,Touboro,,,,,,,,,,,,,1232.0
2014,Touboro,593.0,79.0,240.0,274.0,0.0,33.0,84.0,0.0,648.0,276.0,372.0,,1413.0
2015,Touboro,1848.0,145.0,336.0,667.0,468.0,73.0,139.0,0.0,1988.0,395.0,1031.0,562.0,2009.0
2016,Touboro,1026.0,176.0,205.0,330.0,200.0,63.0,80.0,0.0,1124.0,260.0,635.0,229.0,947.0
2017,Touboro,1515.0,253.0,308.0,305.0,358.0,82.0,95.0,0.0,1598.0,421.0,666.0,511.0,1573.0
2018,Touboro,1092.0,106.0,269.0,295.0,288.0,72.0,77.0,0.0,1212.0,353.0,610.0,249.0,1184.0
2019,Touboro,1212.0,196.0,219.0,201.0,367.0,79.0,75.0,0.0,1495.0,431.0,448.0,616.0,1532.0
2020,Touboro,1167.0,165.0,233.0,287.0,267.0,72.0,76.0,0.0,1333.0,373.0,506.0,454.0,1276.0
2021,Touboro,1061.0,158.0,265.0,233.0,254.0,71.0,72.0,0.0,1173.0,389.0,474.0,310.0,1245.0
2024,Touboro,,,,,,,,,,,,,1230.0
