Année,Station,Pluie_Annuelle_mm
1994,Garoua,1236.0
1995,Garoua,976.0
1996,Garoua,1207.0
1997,Garoua,967.0
1998,Garoua,903.0
1999,Garoua,1167.0
2000,Garoua,842.0
2001,Garoua,928.0
2002,Garoua,773.0
2003,Garoua,1174.0
2004,Garoua,999.0
2005,Garoua,1010.0
2006,Garoua,1325.0
2007,Garoua,941.0
2008,Garoua,1129.0
2009,Garoua,1142.0
2010,Garoua,822.0
2011,Garoua,689.0
2012,Garoua,1118.0
2013,Garoua,761.0
2014,Garoua,890.0
2015,Garoua,1011.0
2016,Garoua,783.0
2017,Garoua,1013.0
2018,Garoua,994.0
2019,Garoua,1041.0
2020,Garoua,683.0
2021,Garoua,1185.0
2024,Garoua,925.0
1994,Guider,1236.0
1995,Guider,976.0
1996,Guider,1207.0
1997,Guider,967.0
1998,Guider,903.0
1999,Guider,1167.0
2000,Guider,842.0
2001,Guider,928.0
2002,Guider,773.0
2003,Guider,1174.0
2004,Guider,999.0
2005,Guider,1010.0
2006,Guider,1325.0
2007,Guider,941.0
2008,Guider,1129.0
2009,Guider,1142.0
2010,Guider,822.0
2011,Guider,689.0
2012,Guider,1118.0
2013,Guider,761.0
2014,Guider,818.0
2015,Guider,905.0
2016,Guider,584.0
2017,Guider,591.0
2018,Guider,786.0
2019,Guider,885.0
2020,Guider,730.0
2021,Guider,1077.0
2024,Guider,800.0
1994,Homé,1351.0
1995,Homé,1554.0
1996,Homé,1530.0
1997,Homé,1467.0
1998,Homé,1443.0
1999,Homé,1511.0
2000,Homé,1235.0
2001,Homé,1708.0
2002,Homé,1435.0
2003,Homé,1183.0
2004,Homé,917.0
2005,Homé,1336.0
2006,Homé,1076.0
2007,Homé,1050.0
2008,Homé,1086.0
2009,Homé,1613.0
2010,Homé,1368.0
2011,Homé,1259.0
2012,Homé,1518.0
2013,Homé,1352.0
2014,Homé,1336.0
2015,Homé,1327.0
2016,Homé,1027.0
2017,Homé,1461.0
2018,Homé,1111.0
2019,Homé,1860.0
2020,Homé,917.0
2021,Homé,1407.0
2024,Homé,1600.0
1994,Kaélé,1034.0
1995,Kaélé,1030.0
1996,Kaélé,1080.0
1997,Kaélé,885.0
1998,Kaélé,883.0
1999,Kaélé,813.0
2000,Kaélé,879.0
2001,Kaélé,904.0
2002,Kaélé,616.0
2003,Kaélé,1058.0
2004,Kaélé,799.0
2005,Kaélé,856.0
2006,Kaélé,1234.0
2007,Kaélé,967.0
2008,Kaélé,1271.0
2009,Kaélé,918.0
2010,Kaélé,1010.0
2011,Kaélé,816.0
2012,Kaélé,1079.0
2013,Kaélé,806.0
2014,Kaélé,892.0
2015,Kaélé,790.0
2016,Kaélé,672.0
2017,Kaélé,742.0
2018,Kaélé,983.0
2019,Kaélé,1049.0
2020,Kaélé,876.0
2021,Kaélé,812.0
2024,Kaélé,1020.0
1994,Maroua,1075.0
1995,Maroua,864.0
1996,Maroua,795.0
1997,Maroua,681.0
1998,Maroua,659.0
1999,Maroua,1011.0
2000,Maroua,683.0
2001,Maroua,838.0
2002,Maroua,651.0
2003,Maroua,1077.0
2004,Maroua,719.0
2005,Maroua,1039.0
2006,Maroua,776.0
2007,Maroua,954.0
2008,Maroua,739.0
2009,Maroua,970.0
2010,Maroua,870.0
2011,Maroua,664.0
2012,Maroua,839.0
2013,Maroua,999.0
2014,Maroua,888.0
2015,Maroua,680.0
2016,Maroua,466.0
2017,Maroua,625.0
2018,Maroua,1020.0
2019,Maroua,1100.0
2020,Maroua,1014.0
2021,Maroua,918.0
2024,Maroua,1100.0
1994,Mayo Galké,1312.0
1995,Mayo Galké,1293.0
1996,Mayo Galké,1040.0
1997,Mayo Galké,1267.0
1998,Mayo Galké,1375.0
1999,Mayo Galké,1347.0
2000,Mayo Galké,1182.0
2001,Mayo Galké,1404.0
2002,Mayo Galké,1208.0
2003,Mayo Galké,1448.0
2004,Mayo Galké,1141.0
2005,Mayo Galké,1059.0
2006,Mayo Galké,1259.0
2007,Mayo Galké,1126.0
2008,Mayo Galké,1275.0
2009,Mayo Galké,1371.0
2010,Mayo Galké,1781.0
2011,Mayo Galké,1134.0
2012,Mayo Galké,1786.0
2013,Mayo Galké,1039.0
2014,Mayo Galké,1462.0
2015,Mayo Galké,1282.0
2016,Mayo Galké,1183.0
2017,Mayo Galké,1532.0
2018,Mayo Galké,1390.0
2019,Mayo Galké,1672.0
2020,Mayo Galké,1213.0
2021,Mayo Galké,1370.0
2024,Mayo Galké,1320.0
1994,Ngong,1070.0
1995,Ngong,988.0
1996,Ngong,1121.0
1997,Ngong,912.0
1998,Ngong,874.0
1999,Ngong,1094.0
2000,Ngong,1044.0
2001,Ngong,801.0
2002,Ngong,678.0
2003,Ngong,976.0
2004,Ngong,746.0
2005,Ngong,879.0
2006,Ngong,1132.0
2007,Ngong,1087.0
2008,Ngong,1021.0
2009,Ngong,1131.0
2010,Ngong,972.0
2011,Ngong,776.0
2012,Ngong,1446.0
2013,Ngong,1098.0
2014,Ngong,1121.0
2015,Ngong,1007.0
2016,Ngong,813.0
2017,Ngong,853.0
2018,Ngong,965.0
2019,Ngong,1188.0
2020,Ngong,697.0
2021,Ngong,927.0
2024,Ngong,810.0
1994,Poli,1036.0
1995,Poli,1409.0
1996,Poli,1296.0
1997,Poli,1654.0
1998,Poli,1363.0
1999,Poli,1148.0
2000,Poli,1303.0
2001,Poli,1181.0
2002,Poli,1132.0
2003,Poli,1206.0
2004,Poli,949.0
2005,Poli,1083.0
2006,Poli,1370.0
2007,Poli,1285.0
2008,Poli,1230.0
2009,Poli,1477.0
2010,Poli,1032.0
2011,Poli,892.0
2012,Poli,1783.0
2013,Poli,1170.0
2014,Poli,1280.0
2015,Poli,1112.0
2016,Poli,754.0
2017,Poli,1235.0
2018,Poli,1161.0
2019,Poli,1438.0
2020,Poli,909.0
2021,Poli,1122.0
2024,Poli,1515.0
1994,Tchatibali,981.0
1995,Tchatibali,1055.0
1996,Tchatibali,1162.0
1997,Tchatibali,903.0
1998,Tchatibali,1049.0
1999,Tchatibali,960.0
2000,Tchatibali,661.0
2001,Tchatibali,989.0
2002,Tchatibali,704.0
2003,Tchatibali,1100.0
2004,Tchatibali,774.0
2005,Tchatibali,748.0
2006,Tchatibali,895.0
2007,Tchatibali,963.0
2008,Tchatibali,967.0
2009,Tchatibali,878.0
2010,Tchatibali,817.0
2011,Tchatibali,588.0
2012,Tchatibali,889.0
2013,Tchatibali,778.0
2014,Tchatibali,988.0
2015,Tchatibali,669.0
2016,Tchatibali,504.0
2017,Tchatibali,835.0
2018,Tchatibali,782.0
2019,Tchatibali,1162.0
2020,Tchatibali,782.0
2021,Tchatibali,1033.0
2024,Tchatibali,1065.0
1994,Touboro,1077.0
1995,Touboro,1463.0
1996,Touboro,1446.0
1997,Touboro,1329.0
1998,Touboro,1335.0
1999,Touboro,1531.0
2000,Touboro,1066.0
2001,Touboro,1404.0
2002,Touboro,1064.0
2003,Touboro,1481.0
2004,Touboro,1409.0
2005,Touboro,1183.0
2006,Touboro,1473.0
2007,Touboro,1172.0
2008,Touboro,1495.0
2009,Touboro,1224.0
2010,Touboro,1483.0
2011,Touboro,1361.0
2012,Touboro,1628.0
2013,Touboro,1232.0
2014,Touboro,1413.0
2015,Touboro,2009.0
2016,Touboro,947.0
2017,Touboro,1573.0
2018,Touboro,1184.0
2019,Touboro,1532.0
2020,Touboro,1276.0
2021,Touboro,1245.0
2024,Touboro,1230.0
