Date,Station,Pluie_mm
2014-03-26,Garoua,1.0
2014-03-27,Garoua,2.0
2014-03-28,Garoua,0.0
2014-03-29,Garoua,11.0
2014-03-30,Garoua,1.0
2014-03-31,Garoua,0.0
2014-04-01,Garoua,0.0
2014-04-02,Garoua,0.0
2014-04-03,Garoua,0.0
2014-04-04,Garoua,0.0
2014-04-05,Garoua,0.0
2014-04-06,Garoua,0.0
2014-04-07,Garoua,0.0
2014-04-08,Garoua,0.0
2014-04-09,Garoua,0.0
2014-04-10,Garoua,0.0
2014-04-11,Garoua,0.0
2014-04-12,Garoua,0.0
2014-04-13,Garoua,0.0
2014-04-14,Garoua,0.0
2014-04-15,Garoua,0.0
2014-04-16,Garoua,0.0
2014-04-17,Garoua,0.0
2014-04-18,Garoua,0.0
2014-04-19,Garoua,30.0
2014-04-20,Garoua,0.0
2014-04-21,Garoua,0.0
2014-04-22,Garoua,15.0
2014-04-23,Garoua,0.0
2014-04-24,Garoua,0.0
2014-04-25,Garoua,0.0
2014-04-26,Garoua,0.0
2014-04-27,Garoua,10.0
2014-04-28,Garoua,0.0
2014-04-29,Garoua,0.0
2014-04-30,Garoua,0.0
2014-05-01,Garoua,0.0
2014-05-02,Garoua,0.0
2014-05-03,Garoua,0.0
2014-05-04,Garoua,0.0
2014-05-05,Garoua,0.0
2014-05-06,Garoua,0.0
2014-05-07,Garoua,0.0
2014-05-08,Garoua,0.0
2014-05-09,Garoua,0.0
2014-05-10,Garoua,0.0
2014-05-11,Garoua,0.0
2014-05-12,Garoua,0.0
2014-05-13,Garoua,0.0
2014-05-14,Garoua,0.0
2014-05-15,Garoua,0.0
2014-05-16,Garoua,0.0
2014-05-17,Garoua,0.0
2014-05-18,Garoua,0.0
2014-05-19,Garoua,0.0
2014-05-20,Garoua,0.0
2014-05-21,Garoua,0.0
2014-05-22,Garoua,0.0
2014-05-23,Garoua,0.0
2014-05-24,Garoua,0.0
2014-05-25,Garoua,0.0
2014-05-26,Garoua,0.0
2014-05-27,Garoua,0.0
2014-05-28,Garoua,0.0
2014-05-29,Garoua,0.0
2014-05-30,Garoua,0.0
2014-05-31,Garoua,0.0
2014-06-01,Garoua,0.0
2014-06-02,Garoua,0.0
2014-06-03,Garoua,0.0
2014-06-04,Garoua,0.0
2014-06-05,Garoua,0.0
2014-06-06,Garoua,0.0
2014-06-07,Garoua,0.0
2014-06-08,Garoua,0.0
2014-06-09,Garoua,0.0
2014-06-10,Garoua,0.0
2014-06-11,Garoua,0.0
2014-06-12,Garoua,0.0
2014-06-13,Garoua,0.0
2014-06-14,Garoua,0.0
2014-06-15,Garoua,0.0
2014-06-16,Garoua,0.0
2014-06-17,Garoua,0.0
2014-06-18,Garoua,0.0
2014-06-19,Garoua,0.0
2014-06-20,Garoua,0.0
2014-06-21,Garoua,0.0
2014-06-22,Garoua,0.0
2014-06-23,Garoua,0.0
2014-06-24,Garoua,0.0
2014-06-25,Garoua,0.0
2014-06-26,Garoua,0.0
2014-06-27,Garoua,0.0
2014-06-28,Garoua,0.0
2014-06-29,Garoua,0.0
2014-06-30,Garoua,0.0
2014-07-01,Garoua,0.0
2014-07-02,Garoua,0.0
2014-07-03,Garoua,0.0
2014-07-04,Garoua,0.0
2014-07-05,Garoua,0.0
2014-07-06,Garoua,0.0
2014-07-07,Garoua,0.0
2014-07-08,Garoua,0.0
2014-07-09,Garoua,0.0
2014-07-10,Garoua,0.0
2014-07-11,Garoua,0.0
2014-07-12,Garoua,0.0
2014-07-13,Garoua,0.0
2014-07-14,Garoua,0.0
2014-07-15,Garoua,0.0
2014-07-16,Garoua,0.0
2014-07-17,Garoua,0.0
2014-07-18,Garoua,0.0
2014-07-19,Garoua,0.0
2014-07-20,Garoua,0.0
2014-07-21,Garoua,0.0
2014-07-22,Garoua,0.0
2014-07-23,Garoua,0.0
2014-07-24,Garoua,0.0
2014-07-25,Garoua,0.0
2014-07-26,Garoua,0.0
2014-07-27,Garoua,0.0
2014-07-28,Garoua,0.0
2014-07-29,Garoua,0.0
2014-07-30,Garoua,0.0
2014-07-31,Garoua,0.0
2014-08-01,Garoua,0.0
