Année,Mois,Station,Pluie_mm
2014,3,Garoua,15.0
2014,3,Guider,11.0
2014,3,Homé,27.0
2014,3,Kaélé,8.0
2014,3,Maroua,2.0
2014,3,Mayo Galké,31.0
2014,3,Ngong,6.0
2014,3,Poli,58.0
2014,3,Tchatibali,10.0
2014,3,Touboro,10.0
2014,4,Garoua,55.0
2014,4,Guider,44.0
2014,4,Homé,46.0
2014,4,Kaélé,2.0
2014,4,Maroua,12.0
2014,4,Mayo Galké,85.0
2014,4,Ngong,54.0
2014,4,Poli,47.0
2014,4,Tchatibali,32.0
2014,4,Touboro,24.0
2014,5,Garoua,0.0
2014,5,Guider,0.0
2014,5,Homé,3.0
2014,5,Kaélé,0.0
2014,5,Maroua,0.0
2014,5,Mayo Galké,14.0
2014,5,Ngong,0.0
2014,5,Poli,0.0
2014,5,Tchatibali,0.0
2014,5,Touboro,2.0
2014,6,Garoua,0.0
2014,6,Guider,0.0
2014,6,Homé,0.0
2014,6,Kaélé,0.0
2014,6,Maroua,0.0
2014,6,Mayo Galké,0.0
2014,6,Ngong,0.0
2014,6,Poli,0.0
2014,6,Tchatibali,0.0
2014,6,Touboro,0.0
2014,7,Garoua,0.0
2014,7,Guider,1.0
2014,7,Homé,29.0
2014,7,Kaélé,17.0
2014,7,Maroua,0.0
2014,7,Mayo Galké,22.0
2014,7,Ngong,25.0
2014,7,Poli,28.0
2014,7,Tchatibali,101.0
2014,7,Touboro,47.0
2014,8,Garoua,48.0
2014,8,Guider,3.0
2014,8,Homé,92.0
2014,8,Kaélé,9.0
2014,8,Maroua,23.0
2014,8,Mayo Galké,55.0
2014,8,Ngong,29.0
2014,8,Poli,30.0
2014,8,Tchatibali,95.0
2014,8,Touboro,93.0
2014,9,Garoua,172.0
2014,9,Guider,217.0
2014,9,Homé,368.0
2014,9,Kaélé,178.0
2014,9,Maroua,136.0
2014,9,Mayo Galké,259.0
2014,9,Ngong,179.0
2014,9,Poli,230.0
2014,9,Tchatibali,129.0
2014,9,Touboro,242.0
2014,10,Garoua,108.0
2014,10,Guider,49.0
2014,10,Homé,48.0
2014,10,Kaélé,50.0
2014,10,Maroua,23.0
2014,10,Mayo Galké,81.0
2014,10,Ngong,99.0
2014,10,Poli,111.0
2014,10,Tchatibali,43.0
2014,10,Touboro,164.0
2014,11,Garoua,0.0
2014,11,Guider,0.0
2014,11,Homé,0.0
2014,11,Kaélé,0.0
2014,11,Maroua,0.0
2014,11,Mayo Galké,0.0
2014,11,Ngong,0.0
2014,11,Poli,0.0
2014,11,Tchatibali,0.0
2014,11,Touboro,0.0
2014,12,Garoua,0.0
2014,12,Guider,0.0
2014,12,Homé,0.0
2014,12,Kaélé,0.0
2014,12,Maroua,0.0
2014,12,Mayo Galké,0.0
2014,12,Ngong,0.0
2014,12,Poli,0.0
2014,12,Tchatibali,0.0
2014,12,Touboro,0.0
2015,3,Garoua,0.0
2015,3,Guider,0.0
2015,3,Homé,0.0
2015,3,Kaélé,0.0
2015,3,Maroua,0.0
2015,3,Mayo Galké,0.0
2015,3,Ngong,0.0
2015,3,Poli,0.0
2015,3,Tchatibali,0.0
2015,3,Touboro,0.0
2015,4,Garoua,0.0
2015,4,Guider,0.0
2015,4,Homé,0.0
2015,4,Kaélé,0.0
2015,4,Maroua,0.0
2015,4,Mayo Galké,0.0
2015,4,Ngong,0.0
2015,4,Poli,0.0
2015,4,Tchatibali,0.0
2015,4,Touboro,0.0
2015,5,Garoua,0.0
2015,5,Guider,0.0
2015,5,Homé,0.0
2015,5,Kaélé,0.0
2015,5,Maroua,0.0
2015,5,Mayo Galké,0.0
2015,5,Ngong,0.0
2015,5,Poli,0.0
2015,5,Tchatibali,0.0
2015,5,Touboro,0.0
2015,6,Garoua,0.0
2015,6,Guider,0.0
2015,6,Homé,0.0
2015,6,Kaélé,0.0
2015,6,Maroua,0.0
2015,6,Mayo Galké,0.0
2015,6,Ngong,0.0
2015,6,Poli,0.0
2015,6,Tchatibali,0.0
2015,6,Touboro,0.0
2015,7,Garoua,0.0
2015,7,Guider,0.0
2015,7,Homé,0.0
2015,7,Kaélé,0.0
2015,7,Maroua,0.0
2015,7,Mayo Galké,0.0
2015,7,Ngong,0.0
2015,7,Poli,0.0
2015,7,Tchatibali,0.0
2015,7,Touboro,0.0
2015,8,Garoua,0.0
2015,8,Guider,0.0
2015,8,Homé,0.0
2015,8,Kaélé,0.0
2015,8,Maroua,0.0
2015,8,Mayo Galké,0.0
