Date,Station,Pluie_mm
2014-03-26,Garoua,1.0
2014-03-27,Garoua,2.0
2014-03-29,Garoua,11.0
2014-03-30,Garoua,1.0
2014-04-19,Garoua,30.0
2014-04-22,Garoua,15.0
2014-04-23,Garoua,22.0
2014-04-27,Garoua,10.0
2014-05-05,Garoua,6.0
2014-05-12,Garoua,1.0
2014-05-14,Garoua,3.0
2014-05-26,Garoua,3.0
2014-05-28,Garoua,30.0
2014-05-31,Garoua,7.0
2014-06-02,Garoua,12.0
2014-06-06,Garoua,13.0
2014-06-10,Garoua,18.0
2014-06-12,Garoua,8.0
2014-06-15,Garoua,2.0
2014-06-17,Garoua,8.0
2014-06-18,Garoua,40.0
2014-06-19,Garoua,1.0
2014-06-21,Garoua,19.0
2014-06-22,Garoua,37.0
2014-06-23,Garoua,2.0
2014-06-28,Garoua,4.0
2014-06-29,Garoua,2.0
2014-07-02,Garoua,20.0
2014-07-03,Garoua,4.0
2014-07-07,Garoua,17.0
2014-07-08,Garoua,1.0
2014-07-11,Garoua,4.0
2014-07-14,Garoua,7.0
2014-07-16,Garoua,6.0
2014-07-24,Garoua,3.0
2014-07-27,Garoua,5.0
2014-08-01,Garoua,32.0
2015-04-08,Garoua,4.0
2015-05-09,Garoua,5.0
2015-05-11,Garoua,2.0
2015-05-17,Garoua,10.0
2015-05-19,Garoua,9.0
2015-05-22,Garoua,5.0
2015-05-24,Garoua,1.0
2015-05-25,Garoua,3.0
2015-05-28,Garoua,50.0
2015-05-30,Garoua,8.0
2015-06-01,Garoua,4.0
2015-06-02,Garoua,2.0
2015-06-06,Garoua,10.0
2015-06-07,Garoua,2.0
2015-06-11,Garoua,16.0
2015-06-17,Garoua,35.0
2015-06-18,Garoua,12.0
2015-06-22,Garoua,12.0
2015-06-25,Garoua,55.0
2015-06-29,Garoua,3.0
2015-07-01,Garoua,9.0
2015-07-02,Garoua,22.0
2015-07-04,Garoua,15.0
2015-07-11,Garoua,10.0
2015-07-13,Garoua,7.0
2015-07-20,Garoua,30.0
2015-07-21,Garoua,12.0
2015-07-25,Garoua,2.0
2015-07-28,Garoua,3.0
2015-07-31,Garoua,4.0
2015-08-05,Garoua,6.0
2015-08-07,Garoua,2.0
2015-08-10,Garoua,15.0
2015-08-11,Garoua,4.0
2015-08-13,Garoua,27.0
2015-08-15,Garoua,6.0
2015-08-18,Garoua,3.0
2015-08-21,Garoua,5.0
2015-08-23,Garoua,15.0
2015-08-26,Garoua,20.0
2015-08-27,Garoua,20.0
2015-08-28,Garoua,12.0
2015-08-29,Garoua,2.0
2015-08-30,Garoua,70.0
2015-09-03,Garoua,15.0
2015-09-04,Garoua,9.0
2015-09-06,Garoua,50.0
2015-09-08,Garoua,5.0
2015-09-10,Garoua,27.0
2015-09-11,Garoua,2.0
2015-09-13,Garoua,25.0
2015-09-14,Garoua,3.0
2015-09-17,Garoua,9.0
2015-09-20,Garoua,90.0
2015-09-22,Garoua,2.0
2015-09-23,Garoua,26.0
2015-09-28,Garoua,30.0
2015-10-01,Garoua,20.0
2015-10-03,Garoua,35.0
2015-10-08,Garoua,35.0
2015-10-10,Garoua,2.0
2015-10-11,Garoua,7.0
2015-10-13,Garoua,8.0
2015-10-17,Garoua,18.0
2015-10-18,Garoua,8.0
2015-10-25,Garoua,3.0
2015-10-28,Garoua,3.0
2015-10-30,Garoua,1.0
2015-10-31,Garoua,9.0
2016-03-19,Garoua,4.0
2016-04-06,Garoua,3.0
2016-04-09,Garoua,5.0
2016-04-14,Garoua,5.0
2016-04-18,Garoua,30.0
2016-05-07,Garoua,2.0
2016-05-11,Garoua,4.0
2016-05-14,Garoua,20.0
2016-05-15,Garoua,20.0
2016-05-18,Garoua,20.0
2016-05-22,Garoua,4.0
2016-05-24,Garoua,40.0
2016-05-27,Garoua,1.0
2016-05-28,Garoua,12.0
2016-05-30,Garoua,20.0
2016-06-06,Garoua,22.0
2016-06-11,Garoua,40.0
2016-06-15,Garoua,8.0
2016-06-19,Garoua,26.0
2016-06-22,Garoua,3.0
2016-06-24,Garoua,35.0
2016-06-26,Garoua,14.0
2016-06-29,Garoua,45.0
