Année,Mois,Station,Pluie_mm
2014,3,Garoua,15.0
2014,3,Guider,11.0
2014,3,Homé,27.0
2014,3,Kaélé,8.0
2014,3,Maroua,2.0
2014,3,Mayo Galké,31.0
2014,3,Ngong,6.0
2014,3,Poli,58.0
2014,3,Tchatibali,10.0
2014,3,Touboro,10.0
2014,4,Garoua,77.0
2014,4,Guider,48.0
2014,4,Homé,46.0
2014,4,Kaélé,25.0
2014,4,Maroua,13.0
2014,4,Mayo Galké,87.0
2014,4,Ngong,64.0
2014,4,Poli,50.0
2014,4,Tchatibali,35.0
2014,4,Touboro,24.0
2014,5,Garoua,50.0
2014,5,Guider,66.0
2014,5,Homé,159.0
2014,5,Kaélé,101.0
2014,5,Maroua,52.0
2014,5,Mayo Galké,118.0
2014,5,Ngong,142.0
2014,5,Poli,189.0
2014,5,Tchatibali,39.0
2014,5,Touboro,108.0
2014,6,Garoua,166.0
2014,6,Guider,149.0
2014,6,Homé,135.0
2014,6,Kaélé,103.0
2014,6,Maroua,161.0
2014,6,Mayo Galké,173.0
2014,6,Ngong,148.0
2014,6,Poli,222.0
2014,6,Tchatibali,78.0
2014,6,Touboro,168.0
2014,7,Garoua,67.0
2014,7,Guider,159.0
2014,7,Homé,276.0
2014,7,Kaélé,179.0
2014,7,Maroua,223.0
2014,7,Mayo Galké,279.0
2014,7,Ngong,186.0
2014,7,Poli,251.0
2014,7,Tchatibali,310.0
2014,7,Touboro,288.0
2014,8,Garoua,32.0
2014,8,Guider,4.0
2014,8,Homé,40.0
2014,8,Kaélé,82.0
2014,8,Maroua,76.0
2014,8,Mayo Galké,4.0
2014,8,Ngong,34.0
2014,8,Poli,36.0
2014,8,Tchatibali,58.0
2014,8,Touboro,84.0
2015,3,Homé,1.0
2015,3,Poli,20.0
2015,4,Garoua,4.0
2015,4,Guider,3.0
2015,4,Homé,19.0
2015,4,Mayo Galké,11.0
2015,4,Ngong,3.0
2015,4,Poli,4.0
2015,4,Touboro,21.0
2015,5,Garoua,93.0
2015,5,Guider,38.0
2015,5,Homé,99.0
2015,5,Kaélé,87.0
2015,5,Maroua,26.0
2015,5,Mayo Galké,69.0
2015,5,Ngong,20.0
2015,5,Poli,113.0
2015,5,Tchatibali,31.0
2015,5,Touboro,59.0
2015,6,Garoua,151.0
2015,6,Guider,113.0
2015,6,Homé,123.0
2015,6,Kaélé,100.0
2015,6,Maroua,112.0
2015,6,Mayo Galké,218.0
2015,6,Ngong,201.0
2015,6,Poli,152.0
2015,6,Tchatibali,93.0
2015,6,Touboro,336.0
2015,7,Garoua,114.0
2015,7,Guider,144.0
2015,7,Homé,365.0
2015,7,Kaélé,159.0
2015,7,Maroua,175.0
2015,7,Mayo Galké,239.0
2015,7,Ngong,65.0
2015,7,Poli,215.0
2015,7,Tchatibali,157.0
2015,7,Touboro,480.0
2015,8,Garoua,207.0
2015,8,Guider,352.0
2015,8,Homé,310.0
2015,8,Kaélé,207.0
2015,8,Maroua,155.0
2015,8,Mayo Galké,345.0
2015,8,Ngong,218.0
2015,8,Poli,400.0
2015,8,Tchatibali,159.0
2015,8,Touboro,551.0
2015,9,Garoua,293.0
2015,9,Guider,173.0
2015,9,Homé,277.0
2015,9,Kaélé,184.0
2015,9,Maroua,175.0
2015,9,Mayo Galké,177.0
2015,9,Ngong,338.0
2015,9,Poli,273.0
2015,9,Tchatibali,176.0
2015,9,Touboro,408.0
2015,10,Garoua,149.0
2015,10,Guider,81.0
2015,10,Homé,130.0
2015,10,Kaélé,53.0
2015,10,Maroua,37.0
2015,10,Mayo Galké,53.0
2015,10,Ngong,162.0
2015,10,Poli,105.0
2015,10,Tchatibali,53.0
2015,10,Touboro,154.0
2015,11,Guider,1.0
2015,11,Homé,3.0
2016,3,Garoua,4.0
2016,3,Guider,17.0
2016,3,Homé,16.0
2016,3,Kaélé,4.0
2016,3,Mayo Galké,12.0
2016,3,Ngong,23.0
2016,3,Poli,98.0
2016,3,Touboro,10.0
2016,4,Garoua,43.0
2016,4,Guider,7.0
2016,4,Homé,70.0
2016,4,Kaélé,8.0
2016,4,Mayo Galké,69.0
2016,4,Ngong,28.0
2016,4,Poli,51.0
2016,4,Touboro,30.0
2016,5,Garoua,143.0
2016,5,Guider,109.0
2016,5,Homé,123.0
2016,5,Kaélé,90.0
2016,5,Maroua,52.0
2016,5,Mayo Galké,68.0
2016,5,Ngong,230.0
2016,5,Poli,125.0
2016,5,Tchatibali,90.0
2016,5,Touboro,92.0
