secteur,etape,sous_etape,valeur,unite,condition
Guider,variete,IRMA Q302,1,oui,
Guider,fertilisation,formule_NPKSB,15.20.15.5.1,,
Guider,fertilisation,dose_NPKSB_precoce_sansFO,200,kg/ha,precoce
Guider,fertilisation,dose_ZnSO4_precoce_sansFO,4,kg/ha,precoce
Guider,fertilisation,dose_uree_precoce_sansFO,50,kg/ha,precoce
Guider,fertilisation,dose_NPKSB_tardif_sansFO,100,kg/ha,tardif
Guider,fertilisation,dose_ZnSO4_tardif_sansFO,4,kg/ha,tardif
Guider,fertilisation,dose_uree_tardif_sansFO,50,kg/ha,tardif
Guider,fertilisation,dose_NPKSB_avecFO,100,kg/ha,avec_FO
Guider,fertilisation,dose_ZnSO4_avecFO,4,kg/ha,avec_FO
Guider,fertilisation,dose_uree_avecFO,50,kg/ha,avec_FO
Garoua1,variete,IRMA Q302,1,oui,
Garoua1,fertilisation,formule_NPKSB,15.20.15.5.1,,
Garoua1,fertilisation,dose_NPKSB_precoce_sansFO,200,kg/ha,precoce
Garoua1,fertilisation,dose_ZnSO4_precoce_sansFO,4,kg/ha,precoce
Garoua1,fertilisation,dose_uree_precoce_sansFO,50,kg/ha,precoce
Garoua1,fertilisation,dose_NPKSB_tardif_sansFO,100,kg/ha,tardif
Garoua1,fertilisation,dose_ZnSO4_tardif_sansFO,4,kg/ha,tardif
Garoua1,fertilisation,dose_uree_tardif_sansFO,50,kg/ha,tardif
Garoua1,fertilisation,dose_NPKSB_avecFO,100,kg/ha,avec_FO
Garoua1,fertilisation,dose_ZnSO4_avecFO,4,kg/ha,avec_FO
Garoua1,fertilisation,dose_uree_avecFO,50,kg/ha,avec_FO
Garoua2,variete,IRMA Q302,1,oui,
Garoua2,fertilisation,formule_NPKSB,15.20.15.5.1,,
Garoua2,fertilisation,dose_NPKSB_precoce_sansFO,200,kg/ha,precoce
Garoua2,fertilisation,dose_ZnSO4_precoce_sansFO,4,kg/ha,precoce
Garoua2,fertilisation,dose_uree_precoce_sansFO,50,kg/ha,precoce
Garoua2,fertilisation,dose_NPKSB_tardif_sansFO,100,kg/ha,tardif
Garoua2,fertilisation,dose_ZnSO4_tardif_sansFO,4,kg/ha,tardif
Garoua2,fertilisation,dose_uree_tardif_sansFO,50,kg/ha,tardif
Garoua2,fertilisation,dose_NPKSB_avecFO,100,kg/ha,avec_FO
Garoua2,fertilisation,dose_ZnSO4_avecFO,4,kg/ha,avec_FO
Garoua2,fertilisation,dose_uree_avecFO,50,kg/ha,avec_FO
Ngong,variete,IRMA Q302,1,oui,
Ngong,fertilisation,formule_NPKSB,15.20.15.5.1,,
Ngong,fertilisation,dose_NPKSB_precoce_sansFO,200,kg/ha,precoce
Ngong,fertilisation,dose_ZnSO4_precoce_sansFO,4,kg/ha,precoce
Ngong,fertilisation,dose_uree_precoce_sansFO,50,kg/ha,precoce
Ngong,fertilisation,dose_NPKSB_tardif_sansFO,100,kg/ha,tardif
Ngong,fertilisation,dose_ZnSO4_tardif_sansFO,4,kg/ha,tardif
Ngong,fertilisation,dose_uree_tardif_sansFO,50,kg/ha,tardif
Ngong,fertilisation,dose_NPKSB_avecFO,100,kg/ha,avec_FO
Ngong,fertilisation,dose_ZnSO4_avecFO,4,kg/ha,avec_FO
Ngong,fertilisation,dose_uree_avecFO,50,kg/ha,avec_FO
MayoGalke,variete,IRMA Q302,1,oui,
