Année,Région,S_realise,Rdt_region_kg_ha,Production_region_T
2012,Garoua,0.0,1164,0.0
2013,Garoua,36413.25,1190,43323.5
2014,Garoua,31877.5,1412,45015.6
2015,Garoua,32531.1,1223,39771.1
2016,Garoua,29420.25,1302,38318.8
2017,Garoua,29096.0,1385,40310.4
2018,Garoua,32895.25,1572,51720.3
2019,Garoua,32060.25,1474,47268.6
2020,Garoua,32886.0,1609,52908.9
2021,Garoua,31926.0,1592,50839.2
2022,Garoua,38603.25,,
2023,Garoua,39855.5,,
2024,Garoua,49094.25,,
2025,Garoua,36231.25,,
2013,Guider,32035.0,1190,38114.4
2014,Guider,30682.0,1416,43447.7
2015,Guider,30725.0,1228,37740.3
2016,Guider,28482.0,1313,37405.3
2017,Guider,29121.0,1408,41014.0
2018,Guider,29794.0,1584,47181.6
2019,Guider,34946.25,1483,51820.4
2020,Guider,32596.0,1606,52358.9
2021,Guider,30584.0,1598,48882.0
2022,Guider,29834.0,,
2023,Guider,30491.25,,
2024,Guider,28914.5,,
2025,Guider,25875.0,,
2013,Kaélé,22882.0,1187,27168.3
2014,Kaélé,21548.0,1412,30426.5
2015,Kaélé,19324.5,1235,23857.7
2016,Kaélé,17989.5,1309,23539.3
2017,Kaélé,19154.0,1400,26819.0
2018,Kaélé,18383.0,1573,28914.1
2019,Kaélé,18099.0,1474,26676.7
2020,Kaélé,19228.0,1598,30733.1
2021,Kaélé,23112.0,1613,37273.0
2022,Kaélé,22710.0,,
2023,Kaélé,23164.0,,
2024,Kaélé,21269.0,,
2025,Kaélé,19499.0,,
2014,Maroua,52373.0,1412,73963.9
2015,Maroua,44664.75,1241,55409.9
2016,Maroua,39383.0,1320,51974.5
2017,Maroua,36862.0,1407,51848.2
2018,Maroua,42467.0,1571,66709.5
2019,Maroua,46235.0,1471,68018.9
2020,Maroua,51909.75,1591,82580.0
2021,Maroua,52445.25,1607,84276.5
2022,Maroua,47248.25,,
2023,Maroua,49176.0,,
2024,Maroua,47501.25,,
2025,Maroua,36955.0,,
2013,Mayo Galké,17433.25,1175,20477.8
2014,Mayo Galké,17722.75,1381,24475.2
2015,Mayo Galké,18525.75,1208,22375.4
2016,Mayo Galké,17851.0,1281,22861.5
2017,Mayo Galké,18490.0,1357,25094.1
2018,Mayo Galké,21513.0,1551,33360.5
2019,Mayo Galké,21288.0,1440,30655.1
2020,Mayo Galké,19194.0,1580,30326.6
2021,Mayo Galké,19916.0,1582,31513.8
2022,Mayo Galké,23034.0,,
2023,Mayo Galké,23466.0,,
2024,Mayo Galké,22226.0,,
2025,Mayo Galké,20141.0,,
2013,Ngong,24085.0,1171,28213.8
2014,Ngong,24533.75,1400,34336.7
2015,Ngong,25733.0,1223,31465.6
2016,Ngong,23486.75,1301,30552.2
2017,Ngong,23064.0,1394,32154.4
2018,Ngong,27650.0,1574,43517.0
2019,Ngong,28154.0,1466,41284.0
2020,Ngong,28909.0,1608,46488.4
2021,Ngong,29175.0,1606,46868.3
2022,Ngong,27711.0,,
2023,Ngong,31286.0,,
2024,Ngong,30695.0,,
2025,Ngong,27562.0,,
2013,Tchatibali,14240.0,1189,16929.2
2014,Tchatibali,13209.5,1407,18583.2
2015,Tchatibali,12388.0,1241,15375.6
2016,Tchatibali,12712.0,1318,16750.0
2017,Tchatibali,14036.0,1395,19581.8
2018,Tchatibali,14609.0,1584,23137.9
2019,Tchatibali,16336.0,1468,23977.7
2020,Tchatibali,18187.0,1603,29162.3
2021,Tchatibali,18186.0,1601,29110.0
2022,Tchatibali,18233.0,,
2023,Tchatibali,19044.25,,
2024,Tchatibali,12880.0,,
2025,Tchatibali,8862.0,,
2012,Touboro,18170.0,1137,20653.3
2013,Touboro,15650.0,1164,18218.7
2014,Touboro,17543.0,1384,24273.8
2015,Touboro,18848.0,1168,22018.7
2016,Touboro,14466.0,1294,18712.3
2017,Touboro,11908.0,1355,16134.6
2018,Touboro,16588.0,1562,25909.3
2019,Touboro,19619.75,1448,28402.3
2020,Touboro,19787.0,1577,31195.7
2021,Touboro,21193.0,1589,33678.7
2022,Touboro,25267.0,,
2023,Touboro,25425.0,,
2024,Touboro,24260.0,,
2025,Touboro,21557.0,,
