Année,Station,S_Prevu,S_realise,Taux_realisation,Ecart_surface
2012,Garoua,15674.25,0.0,0.0,-15674.25
2013,Garoua,33788.75,36413.25,1.0776737819540527,2624.5
2014,Garoua,33348.75,31877.5,0.9558829041568274,-1471.25
2015,Garoua,31272.5,32531.1,1.0402462227196418,1258.5999999999985
2016,Garoua,28740.0,29420.25,1.023669102296451,680.25
2017,Garoua,28801.25,29096.0,1.010233930818975,294.75
2018,Garoua,33338.0,32895.25,0.9867193592896994,-442.75
2019,Garoua,32297.25,32060.25,0.9926619139400413,-237.0
2020,Garoua,32062.5,32886.0,1.0256842105263158,823.5
2021,Garoua,30726.25,31926.0,1.039046417965095,1199.75
2022,Garoua,35807.25,38603.25,1.0780847454077038,2796.0
2023,Garoua,37910.5,39855.5,1.0513050474143046,1945.0
2024,Garoua,46562.5,49094.25,1.0543731543624162,2531.75
2025,Garoua,38657.5,36231.25,0.9372372760783807,-2426.25
2013,Guider,28967.0,32035.0,1.1059136258501052,3068.0
2014,Guider,29916.0,30682.0,1.0256050274100816,766.0
2015,Guider,27295.0,30725.0,1.1256640410331562,3430.0
2016,Guider,28837.5,28482.0,0.9876723016905071,-355.5
2017,Guider,27473.25,29121.0,1.0599765226174551,1647.75
2018,Guider,29475.0,29794.0,1.0108227311280746,319.0
2019,Guider,28716.0,34946.25,1.2169609277058087,6230.25
2020,Guider,29451.0,32596.0,1.1067875454144172,3145.0
2021,Guider,29097.0,30584.0,1.0511049249063478,1487.0
2022,Guider,19698.0,29834.0,1.5145700071073205,10136.0
2023,Guider,29403.0,30491.25,1.0370115294357718,1088.25
2024,Guider,28181.0,28914.5,1.0260281750115325,733.5
2025,Guider,26343.0,25875.0,0.9822343696617697,-468.0
2013,Kaélé,25204.5,22882.0,0.9078537562736813,-2322.5
2014,Kaélé,22532.0,21548.0,0.9563287768507013,-984.0
2015,Kaélé,20403.0,19324.5,0.9471401264519923,-1078.5
2016,Kaélé,17724.0,17989.5,1.0149796885578877,265.5
2017,Kaélé,18293.0,19154.0,1.0470671841688077,861.0
2018,Kaélé,17553.0,18383.0,1.0472853643251865,830.0
2019,Kaélé,16753.0,18099.0,1.0803438190174894,1346.0
2020,Kaélé,19017.0,19228.0,1.0110953357522217,211.0
2021,Kaélé,19007.0,23112.0,1.2159730625559004,4105.0
2022,Kaélé,21296.0,22710.0,1.066397445529677,1414.0
2023,Kaélé,21237.0,23164.0,1.090737863163347,1927.0
2024,Kaélé,23924.0,21269.0,0.889023574653068,-2655.0
2025,Kaélé,21343.0,19499.0,0.9136016492526824,-1844.0
2014,Maroua,51421.5,52373.0,1.018503933179701,951.5
2015,Maroua,38677.0,44664.75,1.1548142306797322,5987.75
2016,Maroua,37065.75,39383.0,1.0625172834759853,2317.25
2017,Maroua,34158.5,36862.0,1.0791457470322174,2703.5
2018,Maroua,40917.25,42467.0,1.037875223774814,1549.75
2019,Maroua,43293.0,46235.0,1.0679555586353453,2942.0
2020,Maroua,47049.5,51909.75,1.1033007789668328,4860.25
2021,Maroua,46923.75,52445.25,1.117669623591465,5521.5
2022,Maroua,46053.0,47248.25,1.025953792369661,1195.25
2023,Maroua,48921.25,49176.0,1.0052073485448552,254.75
2024,Maroua,47331.0,47501.25,1.0035970083032262,170.25
2025,Maroua,38649.25,36955.0,0.9561634443100449,-1694.25
2013,Mayo Galké,17415.0,17433.25,1.0010479471719782,18.25
2014,Mayo Galké,17765.0,17722.75,0.9976217281170842,-42.25
2015,Mayo Galké,18002.5,18525.75,1.0290654075822803,523.25
2016,Mayo Galké,17747.0,17851.0,1.0058601453766833,104.0
2017,Mayo Galké,18149.0,18490.0,1.0187889139897515,341.0
2018,Mayo Galké,20679.0,21513.0,1.0403307703467286,834.0
2019,Mayo Galké,19741.0,21288.0,1.0783648244769768,1547.0
2020,Mayo Galké,18949.0,19194.0,1.0129294421869228,245.0
2021,Mayo Galké,19911.0,19916.0,1.0002511174727537,5.0
2022,Mayo Galké,21443.0,23034.0,1.0741967075502494,1591.0
2023,Mayo Galké,22811.0,23466.0,1.028714216825216,655.0
2024,Mayo Galké,20865.0,22226.0,1.06522885214474,1361.0
2025,Mayo Galké,18271.0,20141.0,1.1023479831426852,1870.0
2013,Ngong,24658.5,24085.0,0.9767422998154794,-573.5
2014,Ngong,23710.5,24533.75,1.0347209042407373,823.25
2015,Ngong,23071.0,25733.0,1.115382948290061,2662.0
2016,Ngong,22093.0,23486.75,1.0630855927216765,1393.75
2017,Ngong,23003.0,23064.0,1.002651828022432,61.0
2018,Ngong,26918.0,27650.0,1.0271936993833122,732.0
2019,Ngong,27408.0,28154.0,1.0272183304144775,746.0
2020,Ngong,28221.0,28909.0,1.02437900853974,688.0
2021,Ngong,28122.0,29175.0,1.0374439940260294,1053.0
2022,Ngong,27642.0,27711.0,1.0024962014326027,69.0
2023,Ngong,31544.0,31286.0,0.9918209485163582,-258.0
2024,Ngong,30900.0,30695.0,0.9933656957928803,-205.0
2025,Ngong,27611.0,27562.0,0.9982253449712071,-49.0
2013,Tchatibali,18045.0,14240.0,0.7891382654474923,-3805.0
2014,Tchatibali,13658.0,13209.5,0.9671621027968956,-448.5
2015,Tchatibali,13059.0,12388.0,0.9486178114710162,-671.0
2016,Tchatibali,11876.0,12712.0,1.0703940720781409,836.0
2017,Tchatibali,14186.0,14036.0,0.9894261948399831,-150.0
2018,Tchatibali,14872.0,14609.0,0.982315761161915,-263.0
2019,Tchatibali,15363.0,16336.0,1.0633339842478682,973.0
2020,Tchatibali,19258.0,18187.0,0.9443867483643161,-1071.0
2021,Tchatibali,16888.0,18186.0,1.0768593083846518,1298.0
2022,Tchatibali,19651.0,18233.0,0.9278408223500076,-1418.0
2023,Tchatibali,15176.0,19044.25,1.254892593568793,3868.25
2024,Tchatibali,16810.0,12880.0,0.7662105889351577,-3930.0
2025,Tchatibali,10822.0,8862.0,0.8188874514877102,-1960.0
2012,Touboro,18815.75,18170.0,0.9656803475811487,-645.75
2013,Touboro,15791.0,15650.0,0.9910708631498956,-141.0
2014,Touboro,17710.0,17543.0,0.9905702992659514,-167.0
2015,Touboro,16473.0,18848.0,1.1441753171856979,2375.0
2016,Touboro,15033.0,14466.0,0.9622829774496109,-567.0
2017,Touboro,10609.0,11908.0,1.1224432085964746,1299.0
2018,Touboro,16312.0,16588.0,1.0169200588523786,276.0
2019,Touboro,14037.0,19619.75,1.3977167485930042,5582.75
2020,Touboro,19476.75,19787.0,1.0159292489763436,310.25
2021,Touboro,20154.0,21193.0,1.0515530415798353,1039.0
2022,Touboro,22740.0,25267.0,1.1111257695690413,2527.0
2023,Touboro,24908.0,25425.0,1.0207563834912479,517.0
2024,Touboro,24050.0,24260.0,1.0087318087318087,210.0
2025,Touboro,21071.0,21557.0,1.023064875895781,486.0
