Année,Station,S_Prevu,S_realise,Taux_realisation,Ecart_surface
2012,Garoua,15674.25,0.0,0.0,-15674.25
2013,Garoua,33788.75,36413.25,1.0777,2624.5
2014,Garoua,33348.75,31877.5,0.9559,-1471.25
2015,Garoua,31272.5,32531.1,1.0402,1258.6
2016,Garoua,28740.0,29420.25,1.0237,680.25
2017,Garoua,28801.25,29096.0,1.0102,294.75
2018,Garoua,33338.0,32895.25,0.9867,-442.75
2019,Garoua,32297.25,32060.25,0.9927,-237.0
2020,Garoua,32062.5,32886.0,1.0257,823.5
2021,Garoua,30726.25,31926.0,1.039,1199.75
2022,Garoua,35807.25,38603.25,1.0781,2796.0
2023,Garoua,37910.5,39855.5,1.0513,1945.0
2024,Garoua,46562.5,49094.25,1.0544,2531.75
2025,Garoua,38657.5,36231.25,0.9372,-2426.25
2013,Guider,28967.0,32035.0,1.1059,3068.0
2014,Guider,29916.0,30682.0,1.0256,766.0
2015,Guider,27295.0,30725.0,1.1257,3430.0
2016,Guider,28837.5,28482.0,0.9877,-355.5
2017,Guider,27473.25,29121.0,1.06,1647.75
2018,Guider,29475.0,29794.0,1.0108,319.0
2019,Guider,28716.0,34946.25,1.217,6230.25
2020,Guider,29451.0,32596.0,1.1068,3145.0
2021,Guider,29097.0,30584.0,1.0511,1487.0
2022,Guider,19698.0,29834.0,1.5146,10136.0
2023,Guider,29403.0,30491.25,1.037,1088.25
2024,Guider,28181.0,28914.5,1.026,733.5
2025,Guider,26343.0,25875.0,0.9822,-468.0
2013,Kaélé,25204.5,22882.0,0.9079,-2322.5
2014,Kaélé,22532.0,21548.0,0.9563,-984.0
2015,Kaélé,20403.0,19324.5,0.9471,-1078.5
2016,Kaélé,17724.0,17989.5,1.015,265.5
2017,Kaélé,18293.0,19154.0,1.0471,861.0
2018,Kaélé,17553.0,18383.0,1.0473,830.0
2019,Kaélé,16753.0,18099.0,1.0803,1346.0
2020,Kaélé,19017.0,19228.0,1.0111,211.0
2021,Kaélé,19007.0,23112.0,1.216,4105.0
2022,Kaélé,21296.0,22710.0,1.0664,1414.0
2023,Kaélé,21237.0,23164.0,1.0907,1927.0
2024,Kaélé,23924.0,21269.0,0.889,-2655.0
2025,Kaélé,21343.0,19499.0,0.9136,-1844.0
2014,Maroua,51421.5,52373.0,1.0185,951.5
2015,Maroua,38677.0,44664.75,1.1548,5987.75
2016,Maroua,37065.75,39383.0,1.0625,2317.25
2017,Maroua,34158.5,36862.0,1.0791,2703.5
2018,Maroua,40917.25,42467.0,1.0379,1549.75
2019,Maroua,43293.0,46235.0,1.068,2942.0
2020,Maroua,47049.5,51909.75,1.1033,4860.25
2021,Maroua,46923.75,52445.25,1.1177,5521.5
2022,Maroua,46053.0,47248.25,1.026,1195.25
2023,Maroua,48921.25,49176.0,1.0052,254.75
2024,Maroua,47331.0,47501.25,1.0036,170.25
2025,Maroua,38649.25,36955.0,0.9562,-1694.25
2013,Mayo Galké,17415.0,17433.25,1.001,18.25
2014,Mayo Galké,17765.0,17722.75,0.9976,-42.25
2015,Mayo Galké,18002.5,18525.75,1.0291,523.25
2016,Mayo Galké,17747.0,17851.0,1.0059,104.0
2017,Mayo Galké,18149.0,18490.0,1.0188,341.0
2018,Mayo Galké,20679.0,21513.0,1.0403,834.0
2019,Mayo Galké,19741.0,21288.0,1.0784,1547.0
2020,Mayo Galké,18949.0,19194.0,1.0129,245.0
2021,Mayo Galké,19911.0,19916.0,1.0003,5.0
2022,Mayo Galké,21443.0,23034.0,1.0742,1591.0
2023,Mayo Galké,22811.0,23466.0,1.0287,655.0
2024,Mayo Galké,20865.0,22226.0,1.0652,1361.0
2025,Mayo Galké,18271.0,20141.0,1.1023,1870.0
2013,Ngong,24658.5,24085.0,0.9767,-573.5
2014,Ngong,23710.5,24533.75,1.0347,823.25
2015,Ngong,23071.0,25733.0,1.1154,2662.0
2016,Ngong,22093.0,23486.75,1.0631,1393.75
2017,Ngong,23003.0,23064.0,1.0027,61.0
2018,Ngong,26918.0,27650.0,1.0272,732.0
2019,Ngong,27408.0,28154.0,1.0272,746.0
2020,Ngong,28221.0,28909.0,1.0244,688.0
